#, run1, run2, run3, run4, run5, run6, run7, run8, run9, run10, avg, std
NaiveBayes.LOOCV,0.1307000000000002,0.18780000000000002,0.14750000000000024,0.12840000000000013,0.10179999999999984,0.11019999999999991,0.13240000000000024,0.07680000000000006,0.13320000000000007,0.10469999999999992,0.12535000000000007,0.03001393195019797
NaiveBayes.LOOCVgen,0.0016,0.0022000000000000006,0.0021000000000000003,0.0019000000000000002,0.0017000000000000001,0.0018000000000000002,0.0019000000000000002,0.0012,0.0019000000000000002,0.0013999999999999998,0.00177,3.0568684048294355E-4
NaiveBayes.Resample,0.09820000000000002,0.09805,0.09875000000000002,0.10200000000000001,0.09860000000000002,0.10275000000000001,0.10040000000000002,0.10350000000000001,0.10195000000000001,0.0998,0.10040000000000002,0.0020215505600075056
NaiveBayes.Resamplegen,0.05340000000000002,0.05485000000000001,0.05295000000000001,0.053300000000000014,0.05610000000000002,0.05355000000000001,0.0541,0.05435000000000002,0.05105000000000002,0.05520000000000001,0.053885000000000016,0.0013916516965262692
SMO.1.0.PolyKernel.Holdout,0.101,0.098,0.104,0.105,0.085,0.101,0.087,0.105,0.092,0.093,0.0971,0.007415449338299661
SMO.1.0.PolyKernel.Holdoutgen,0.061,0.066,0.05,0.06,0.063,0.058,0.07,0.057,0.073,0.062,0.062,0.006599663291074444
SMO.1.0.PolyKernel.CV,0.1351,0.1376,0.13740000000000002,0.13440000000000002,0.1338,0.1351,0.1351,0.13699999999999998,0.1359,0.13530000000000003,0.13567,0.0012806682283523342
SMO.1.0.PolyKernel.CVgen,0.018499999999999996,0.0183,0.018999999999999996,0.0189,0.018400000000000003,0.0184,0.017400000000000002,0.0193,0.018399999999999996,0.017499999999999998,0.01841,6.008327554319916E-4
SMO.1.0.PolyKernel.LOOCV,0.10609999999999996,0.05959999999999992,0.04909999999999993,0.06860000000000004,0.048899999999999916,0.06079999999999991,0.07760000000000006,0.11499999999999988,0.05829999999999992,0.07740000000000005,0.07213999999999995,0.022628899909432437
SMO.1.0.PolyKernel.LOOCVgen,0.0021000000000000003,0.0021000000000000003,0.0018000000000000002,0.002300000000000001,0.0015,0.002300000000000001,0.0016,0.0035000000000000014,0.0021000000000000003,0.0017000000000000001,0.0021000000000000003,5.676462121975471E-4
SMO.1.0.PolyKernel.Resample,0.085,0.0889,0.0858,0.08574999999999999,0.08660000000000001,0.08575000000000002,0.08530000000000001,0.08455,0.08549999999999999,0.08424999999999999,0.08574000000000001,0.0012980326994682747
SMO.1.0.PolyKernel.Resamplegen,0.0538,0.05760000000000002,0.05515000000000001,0.05635000000000001,0.05450000000000001,0.05725000000000002,0.05635,0.05120000000000001,0.054400000000000004,0.05440000000000002,0.05510000000000001,0.0018926759422104552
SMO.5.0.PolyKernel.Holdout,0.094,0.104,0.092,0.102,0.09,0.094,0.092,0.097,0.086,0.089,0.094,0.005637178175095921
SMO.5.0.PolyKernel.Holdoutgen,0.066,0.062,0.063,0.064,0.053,0.059,0.061,0.069,0.064,0.069,0.063,0.004760952285695236
SMO.5.0.PolyKernel.CV,0.1282,0.1265,0.1285,0.1266,0.1255,0.12730000000000002,0.12730000000000002,0.12490000000000001,0.12679999999999997,0.1251,0.12667,0.0012247902314727697
SMO.5.0.PolyKernel.CVgen,0.017699999999999997,0.017200000000000003,0.017300000000000003,0.017000000000000005,0.018,0.017100000000000004,0.0177,0.018499999999999996,0.017599999999999998,0.017499999999999998,0.01756,4.526465385804759E-4
SMO.5.0.PolyKernel.LOOCV,0.06810000000000006,0.059299999999999915,0.04869999999999991,0.06640000000000006,0.022300000000000007,0.05999999999999992,0.04969999999999991,0.06069999999999991,0.02919999999999996,0.009800000000000007,0.04741999999999997,0.020134922674574913
SMO.5.0.PolyKernel.LOOCVgen,0.0021000000000000003,0.0022000000000000006,0.0021000000000000003,0.0015,0.0017000000000000001,0.002800000000000001,0.0015,0.002300000000000001,0.0013999999999999998,0.0019000000000000002,0.0019500000000000003,4.377975178854569E-4
SMO.5.0.PolyKernel.Resample,0.07765,0.07855,0.07915000000000001,0.08105000000000001,0.07830000000000001,0.08355,0.0807,0.07944999999999999,0.07759999999999999,0.07774999999999999,0.079375,0.0019047090766483676
SMO.5.0.PolyKernel.Resamplegen,0.052500000000000005,0.052800000000000014,0.05465000000000002,0.05505000000000001,0.050650000000000014,0.05570000000000001,0.05345000000000002,0.05505000000000001,0.054700000000000006,0.05400000000000001,0.053855000000000014,0.0015279706948905934
SMO.1.0.RBFKernel.Holdout,0.142,0.154,0.148,0.165,0.154,0.15,0.165,0.153,0.149,0.148,0.1528,0.007345444544447644
SMO.1.0.RBFKernel.Holdoutgen,0.073,0.087,0.069,0.069,0.087,0.074,0.076,0.08,0.092,0.093,0.08,0.009153020145163985
SMO.1.0.RBFKernel.CV,0.184,0.18620000000000003,0.18509999999999996,0.19740000000000002,0.18780000000000002,0.18480000000000002,0.18409999999999999,0.192,0.18539999999999998,0.18660000000000002,0.18734,0.004240859451678275
SMO.1.0.RBFKernel.CVgen,0.0211,0.021799999999999996,0.021299999999999996,0.022199999999999998,0.021299999999999996,0.021299999999999996,0.021099999999999994,0.022399999999999996,0.021199999999999993,0.021899999999999996,0.021559999999999996,4.7656176001764075E-4
SMO.1.0.RBFKernel.LOOCV,0.26729999999999987,0.22770000000000024,0.2277000000000003,0.2375999999999998,0.24749999999999986,0.2772000000000002,0.21780000000000002,0.23759999999999976,0.25740000000000035,0.2474999999999999,0.24453000000000003,0.0186967644259642
SMO.1.0.RBFKernel.LOOCVgen,0.0027000000000000006,0.002300000000000001,0.002300000000000001,0.0024000000000000007,0.0025000000000000005,0.002800000000000001,0.0022000000000000006,0.0024000000000000007,0.0026000000000000007,0.0025000000000000005,0.002470000000000001,1.888562063228706E-4
SMO.1.0.RBFKernel.Resample,0.14784999999999998,0.14494999999999997,0.14645,0.13885,0.13994999999999996,0.14439999999999995,0.13559999999999997,0.14325000000000002,0.14285,0.151,0.14351499999999998,0.00452038899506079
SMO.1.0.RBFKernel.Resamplegen,0.07559999999999999,0.0726,0.07635,0.07255000000000002,0.0728,0.07604999999999999,0.0696,0.07649999999999998,0.07354999999999999,0.07594999999999999,0.074155,0.002289159234304154
SMO.5.0.RBFKernel.Holdout,0.113,0.107,0.092,0.098,0.104,0.105,0.106,0.099,0.096,0.112,0.1032,0.006844300142778986
SMO.5.0.RBFKernel.Holdoutgen,0.057,0.061,0.066,0.059,0.062,0.057,0.051,0.065,0.062,0.057,0.0597,0.004448470398787531
SMO.5.0.RBFKernel.CV,0.147,0.14559999999999998,0.1482,0.14609999999999998,0.1462,0.1466,0.1465,0.14689999999999998,0.14709999999999998,0.14709999999999998,0.14673,7.118832613411984E-4
SMO.5.0.RBFKernel.CVgen,0.0177,0.017599999999999998,0.0174,0.018199999999999997,0.017599999999999998,0.0175,0.017299999999999996,0.0172,0.017400000000000002,0.017499999999999998,0.01754,2.75680975041804E-4
SMO.5.0.RBFKernel.LOOCV,0.15030000000000016,0.21339999999999992,0.14850000000000024,0.22690000000000007,0.10989999999999994,0.19619999999999982,0.25250000000000006,0.18780000000000002,0.11530000000000001,0.19799999999999973,0.17987999999999998,0.04736735397108667
SMO.5.0.RBFKernel.LOOCVgen,0.0034000000000000015,0.002900000000000001,0.0015,0.003000000000000001,0.0012999999999999997,0.0025000000000000005,0.002900000000000001,0.0019000000000000002,0.0021000000000000003,0.0020000000000000005,0.0023500000000000005,6.964194138592065E-4
SMO.5.0.RBFKernel.Resample,0.09505,0.10035000000000001,0.09950000000000003,0.1005,0.09845000000000001,0.09985000000000002,0.09810000000000002,0.09575000000000002,0.09809999999999999,0.09755000000000001,0.09832000000000002,0.0018442402832120972
SMO.5.0.RBFKernel.Resamplegen,0.053600000000000016,0.05475000000000002,0.054300000000000015,0.05725000000000002,0.055200000000000006,0.0534,0.05235000000000002,0.05550000000000001,0.055700000000000006,0.05725000000000001,0.054930000000000014,0.0015969067321265538
