#,IBk-1-Holdout,IBk-1-Holdout-gen,IBk-1-CV,IBk-1-CV-gen,IBk-1-LOOCV,IBk-1-LOOCV-gen,IBk-1-Resample,IBk-1-Resample-gen,IBk-1-ResampleBootstrap-gen,IBk-3-Holdout,IBk-3-Holdout-gen,IBk-3-CV,IBk-3-CV-gen,IBk-3-LOOCV,IBk-3-LOOCV-gen,IBk-3-Resample,IBk-3-Resample-gen,IBk-3-ResampleBootstrap-gen,IBk-5-Holdout,IBk-5-Holdout-gen,IBk-5-CV,IBk-5-CV-gen,IBk-5-LOOCV,IBk-5-LOOCV-gen,IBk-5-Resample,IBk-5-Resample-gen,IBk-5-ResampleBootstrap-gen,IBk-10-Holdout,IBk-10-Holdout-gen,IBk-10-CV,IBk-10-CV-gen,IBk-10-LOOCV,IBk-10-LOOCV-gen,IBk-10-Resample,IBk-10-Resample-gen,IBk-10-ResampleBootstrap-gen,J48-2-Holdout,J48-2-Holdout-gen,J48-2-CV,J48-2-CV-gen,J48-2-LOOCV,J48-2-LOOCV-gen,J48-2-Resample,J48-2-Resample-gen,J48-2-ResampleBootstrap-gen,J48-5-Holdout,J48-5-Holdout-gen,J48-5-CV,J48-5-CV-gen,J48-5-LOOCV,J48-5-LOOCV-gen,J48-5-Resample,J48-5-Resample-gen,J48-5-ResampleBootstrap-gen,J48-10-Holdout,J48-10-Holdout-gen,J48-10-CV,J48-10-CV-gen,J48-10-LOOCV,J48-10-LOOCV-gen,J48-10-Resample,J48-10-Resample-gen,J48-10-ResampleBootstrap-gen,J48-30-Holdout,J48-30-Holdout-gen,J48-30-CV,J48-30-CV-gen,J48-30-LOOCV,J48-30-LOOCV-gen,J48-30-Resample,J48-30-Resample-gen,J48-30-ResampleBootstrap-gen,NBC--Holdout,NBC--Holdout-gen,NBC--CV,NBC--CV-gen,NBC--LOOCV,NBC--LOOCV-gen,NBC--Resample,NBC--Resample-gen,NBC--ResampleBootstrap-gen,SMO-1-P-Holdout,SMO-1-P-Holdout-gen,SMO-1-P-CV,SMO-1-P-CV-gen,SMO-1-P-LOOCV,SMO-1-P-LOOCV-gen,SMO-1-P-Resample,SMO-1-P-Resample-gen,SMO-1-P-ResampleBootstrap-gen,SMO-5-P-Holdout,SMO-5-P-Holdout-gen,SMO-5-P-CV,SMO-5-P-CV-gen,SMO-5-P-LOOCV,SMO-5-P-LOOCV-gen,SMO-5-P-Resample,SMO-5-P-Resample-gen,SMO-5-P-ResampleBootstrap-gen,SMO-1-RBF-Holdout,SMO-1-RBF-Holdout-gen,SMO-1-RBF-CV,SMO-1-RBF-CV-gen,SMO-1-RBF-LOOCV,SMO-1-RBF-LOOCV-gen,SMO-1-RBF-Resample,SMO-1-RBF-Resample-gen,SMO-1-RBF-ResampleBootstrap-gen,SMO-5-RBF-Holdout,SMO-5-RBF-Holdout-gen,SMO-5-RBF-CV,SMO-5-RBF-CV-gen,SMO-5-RBF-LOOCV,SMO-5-RBF-LOOCV-gen,SMO-5-RBF-Resample,SMO-5-RBF-Resample-gen,SMO-5-RBF-ResampleBootstrap-gen,
IBk-1-Holdout,NaN,2.0214905884585792E-10,NaN,1.81959516723542E-18,NaN,NaN,NaN,2.4364062723474917E-11,2.4364062723474917E-11,2.1987142396491612E-8,1.064930861218406E-10,1.9536463700827842E-22,5.655368676167708E-16,NaN,NaN,2.2344644330865023E-11,2.750233029512471E-9,5.146733734012878E-10,3.4561037921905264E-11,3.5333433217785805E-12,4.393228593521583E-22,3.750431535502219E-16,NaN,NaN,1.3192173537420461E-10,3.3198031817120836E-10,1.7359415505914132E-11,1.1669419103643956E-10,6.4655715352070085E-15,1.954213385484801E-22,2.2754791751065342E-17,NaN,NaN,3.40140476100675E-12,1.584353602120996E-10,3.3055858173113557E-12,1.9386522413230285E-7,1.7779046485120411E-9,1.0052311663270336E-13,8.220671077075518E-16,NaN,NaN,6.090284455531241E-7,7.882339172965715E-10,2.770665619910852E-10,8.66616248535737E-9,1.003225279719593E-11,9.231602036773728E-17,5.766972889051609E-15,NaN,NaN,9.573225836283012E-8,1.9095931415249635E-11,6.0396712138401406E-12,9.884129485660243E-10,8.360764089429536E-10,6.7086624975118135E-18,3.25495798454766E-14,NaN,NaN,2.1118970749937226E-10,3.669447618468662E-10,1.456530879959677E-10,2.7540115587727933E-8,3.613090800597757E-10,2.763680947276411E-21,7.814772370191325E-16,NaN,NaN,6.982018632729695E-12,3.2838781610803715E-10,5.129641683333272E-12,8.319783831003303E-11,4.275948790778415E-12,2.5647414980456272E-23,1.8111153053146703E-18,NaN,NaN,1.7409686118193066E-10,9.45369819881791E-11,8.520195836568457E-14,8.43573048429312E-11,3.4045027048406807E-13,5.395002798499068E-19,7.204566503408988E-18,NaN,NaN,1.5412128984085313E-10,1.6295315289409844E-10,4.7729078014535535E-12,9.63050058819055E-10,4.498633537557776E-11,2.4122251238560513E-21,7.294484140546076E-16,NaN,NaN,1.5369696855533063E-10,3.5544705161094254E-11,1.1773465832912476E-12,6.3267233564195034E-12,6.092467382507547E-15,5.740674151168603E-15,1.065301396012794E-14,NaN,NaN,4.069338587874146E-9,1.2929183700514958E-9,7.39006358507173E-10,2.688907152357493E-11,6.690635923471447E-13,1.6524824845886937E-22,3.106385432314061E-17,NaN,NaN,3.4001346272232036E-12,1.1568643427092552E-11,2.9794650037378846E-13,
IBk-1-Holdout-gen,2.0214905884585792E-10,NaN,2.0214905884585792E-10,0.6143049869882469,2.0214905884585792E-10,2.0214905884585792E-10,2.0214905884585792E-10,0.6538398002193191,5.182295474789866E-6,1.1070981499083722E-6,0.12582481948681942,7.137586100238317E-8,0.021630341870782843,2.0214905884585792E-10,2.0214905884585792E-10,5.991163577428324E-9,0.46896934554109637,4.628946442606157E-6,2.1148629486145583E-7,0.040704785882093066,3.430516073997146E-7,8.081782120626542E-4,2.0214905884585792E-10,2.0214905884585792E-10,2.3911548007719414E-7,0.1366829051306363,2.266690400019527E-4,1.3273970305856972E-5,0.0012049187136568976,1.919519989406768E-6,1.2113627110215457E-4,2.0214905884585792E-10,2.0214905884585792E-10,1.9551083043076565E-6,0.0032282814672404342,7.621644767394757E-5,4.1697408883948907E-5,0.18444747520561466,8.130373846821133E-7,7.572620948375492E-4,2.0214905884585792E-10,2.0214905884585792E-10,7.261028813398374E-8,0.05090523187110193,4.881823237772465E-5,8.02292549891244E-6,0.009073225599332675,1.2303067369950532E-5,1.518692077360988E-4,2.0214905884585792E-10,2.0214905884585792E-10,2.2793176227145978E-7,0.001893621131037145,1.1564999601677947E-5,6.556337841761804E-5,0.09347205115643539,1.2192837628897686E-5,1.8771554023877437E-4,2.0214905884585792E-10,2.0214905884585792E-10,1.8364600341011177E-6,0.01814093191460097,4.169163998542794E-4,0.00274416533888786,0.06323853790198458,3.8518947685232765E-5,2.1450446331221947E-4,2.0214905884585792E-10,2.0214905884585792E-10,2.3503206347724862E-5,2.8975946215045414E-4,5.841178257995115E-5,1.4067817232665545E-4,3.176201684334395E-5,1.946869123870265E-5,3.701168906810902E-5,2.0214905884585792E-10,2.0214905884585792E-10,4.59697847054864E-5,0.004192200922801201,5.133516592581817E-4,6.742715715335527E-7,0.026215820222110282,8.267380154342666E-6,0.003303648337025119,2.0214905884585792E-10,2.0214905884585792E-10,2.8411927931776065E-5,0.015450102925134145,5.991429160032186E-4,4.305761554666793E-7,0.034882180461764146,3.041954731035567E-6,3.815368353640994E-4,2.0214905884585792E-10,2.0214905884585792E-10,1.047055740683126E-5,0.00685151752618672,2.2960910643738452E-4,0.08665218547074537,2.527031463767344E-4,0.6592086932346799,0.15085204453604442,2.0214905884585792E-10,2.0214905884585792E-10,0.012801808279251774,0.2621579332486106,0.10878137349410577,2.9416166475517603E-5,0.008585684513338817,7.688765682393792E-5,8.858413930827212E-4,2.0214905884585792E-10,2.0214905884585792E-10,5.1657340410377816E-6,0.00789558789374268,2.973810837498482E-4,
IBk-1-CV,NaN,2.0214905884585792E-10,NaN,1.81959516723542E-18,NaN,NaN,NaN,2.4364062723474917E-11,2.4364062723474917E-11,2.1987142396491612E-8,1.064930861218406E-10,1.9536463700827842E-22,5.655368676167708E-16,NaN,NaN,2.2344644330865023E-11,2.750233029512471E-9,5.146733734012878E-10,3.4561037921905264E-11,3.5333433217785805E-12,4.393228593521583E-22,3.750431535502219E-16,NaN,NaN,1.3192173537420461E-10,3.3198031817120836E-10,1.7359415505914132E-11,1.1669419103643956E-10,6.4655715352070085E-15,1.954213385484801E-22,2.2754791751065342E-17,NaN,NaN,3.40140476100675E-12,1.584353602120996E-10,3.3055858173113557E-12,1.9386522413230285E-7,1.7779046485120411E-9,1.0052311663270336E-13,8.220671077075518E-16,NaN,NaN,6.090284455531241E-7,7.882339172965715E-10,2.770665619910852E-10,8.66616248535737E-9,1.003225279719593E-11,9.231602036773728E-17,5.766972889051609E-15,NaN,NaN,9.573225836283012E-8,1.9095931415249635E-11,6.0396712138401406E-12,9.884129485660243E-10,8.360764089429536E-10,6.7086624975118135E-18,3.25495798454766E-14,NaN,NaN,2.1118970749937226E-10,3.669447618468662E-10,1.456530879959677E-10,2.7540115587727933E-8,3.613090800597757E-10,2.763680947276411E-21,7.814772370191325E-16,NaN,NaN,6.982018632729695E-12,3.2838781610803715E-10,5.129641683333272E-12,8.319783831003303E-11,4.275948790778415E-12,2.5647414980456272E-23,1.8111153053146703E-18,NaN,NaN,1.7409686118193066E-10,9.45369819881791E-11,8.520195836568457E-14,8.43573048429312E-11,3.4045027048406807E-13,5.395002798499068E-19,7.204566503408988E-18,NaN,NaN,1.5412128984085313E-10,1.6295315289409844E-10,4.7729078014535535E-12,9.63050058819055E-10,4.498633537557776E-11,2.4122251238560513E-21,7.294484140546076E-16,NaN,NaN,1.5369696855533063E-10,3.5544705161094254E-11,1.1773465832912476E-12,6.3267233564195034E-12,6.092467382507547E-15,5.740674151168603E-15,1.065301396012794E-14,NaN,NaN,4.069338587874146E-9,1.2929183700514958E-9,7.39006358507173E-10,2.688907152357493E-11,6.690635923471447E-13,1.6524824845886937E-22,3.106385432314061E-17,NaN,NaN,3.4001346272232036E-12,1.1568643427092552E-11,2.9794650037378846E-13,
IBk-1-CV-gen,1.81959516723542E-18,0.6143049869882469,1.81959516723542E-18,NaN,1.81959516723542E-18,1.81959516723542E-18,1.81959516723542E-18,0.22975059948221377,2.4430890099186516E-8,2.3600914637460277E-8,0.04423867427162559,5.871817939855091E-16,1.8721637357871347E-6,1.81959516723542E-18,1.81959516723542E-18,1.2188713674335738E-12,0.8436962787785055,2.2616009657106578E-5,1.0054249408066313E-9,0.0011778520927111075,1.0917403786443912E-14,1.6462366542616648E-8,1.81959516723542E-18,1.81959516723542E-18,8.219356641893487E-11,0.0927438982050514,1.327587081168997E-6,1.6153993911615209E-7,1.632876543485543E-8,1.2138161415805395E-14,4.800843268194096E-10,1.81959516723542E-18,1.81959516723542E-18,3.0538953848469237E-10,5.294689628143247E-4,1.8114217898759992E-7,4.0665220560258375E-5,0.18430824809470248,3.370947109009243E-11,7.253880837749248E-8,1.81959516723542E-18,1.81959516723542E-18,4.3423743424315025E-11,0.01215879272490932,1.2110017195325157E-7,8.084669589156639E-6,0.002471189864752392,1.3584812545379002E-11,8.934848770686433E-9,1.81959516723542E-18,1.81959516723542E-18,1.4349035281397414E-8,1.6495568955618774E-5,6.303852459109099E-9,8.619487209706918E-6,0.06792018629249302,5.888013690895441E-12,2.3949497498947432E-8,1.81959516723542E-18,1.81959516723542E-18,1.1188174119180497E-8,0.0035733165199593954,1.229331693373172E-5,0.0015591189534754984,0.03859202036723101,5.058646826962081E-12,1.8634064080407725E-9,1.81959516723542E-18,1.81959516723542E-18,1.087560864176514E-7,4.6685144665902634E-5,6.003084130550852E-7,1.142145306951424E-6,1.4080173327339721E-6,8.011026221142802E-13,7.770781199281981E-12,1.81959516723542E-18,1.81959516723542E-18,7.503212787976729E-7,8.648526250773306E-5,6.344160245568805E-8,2.9517754216604226E-9,5.192681605923268E-4,5.0564111094743055E-12,8.704556881283371E-10,1.81959516723542E-18,1.81959516723542E-18,8.94504026382385E-8,0.0043935172203257294,3.822776064118944E-6,1.1399429299435368E-8,0.007571645403112304,5.6029769108015076E-14,9.244654399570826E-9,1.81959516723542E-18,1.81959516723542E-18,1.537500659490088E-8,4.141710029588105E-4,1.344571903124565E-7,0.0014748714045095368,1.4724992689965582E-7,0.007547696217962396,1.6474599804686675E-4,1.81959516723542E-18,1.81959516723542E-18,0.00416512372660656,0.22445493185131693,0.05519385698097339,1.6419862789120757E-7,1.0981831260555272E-4,5.69271280053475E-12,4.6480838266366296E-10,1.81959516723542E-18,1.81959516723542E-18,1.2620862044121829E-8,4.249476475575721E-4,2.9199737954775756E-7,
IBk-1-LOOCV,NaN,2.0214905884585792E-10,NaN,1.81959516723542E-18,NaN,NaN,NaN,2.4364062723474917E-11,2.4364062723474917E-11,2.1987142396491612E-8,1.064930861218406E-10,1.9536463700827842E-22,5.655368676167708E-16,NaN,NaN,2.2344644330865023E-11,2.750233029512471E-9,5.146733734012878E-10,3.4561037921905264E-11,3.5333433217785805E-12,4.393228593521583E-22,3.750431535502219E-16,NaN,NaN,1.3192173537420461E-10,3.3198031817120836E-10,1.7359415505914132E-11,1.1669419103643956E-10,6.4655715352070085E-15,1.954213385484801E-22,2.2754791751065342E-17,NaN,NaN,3.40140476100675E-12,1.584353602120996E-10,3.3055858173113557E-12,1.9386522413230285E-7,1.7779046485120411E-9,1.0052311663270336E-13,8.220671077075518E-16,NaN,NaN,6.090284455531241E-7,7.882339172965715E-10,2.770665619910852E-10,8.66616248535737E-9,1.003225279719593E-11,9.231602036773728E-17,5.766972889051609E-15,NaN,NaN,9.573225836283012E-8,1.9095931415249635E-11,6.0396712138401406E-12,9.884129485660243E-10,8.360764089429536E-10,6.7086624975118135E-18,3.25495798454766E-14,NaN,NaN,2.1118970749937226E-10,3.669447618468662E-10,1.456530879959677E-10,2.7540115587727933E-8,3.613090800597757E-10,2.763680947276411E-21,7.814772370191325E-16,NaN,NaN,6.982018632729695E-12,3.2838781610803715E-10,5.129641683333272E-12,8.319783831003303E-11,4.275948790778415E-12,2.5647414980456272E-23,1.8111153053146703E-18,NaN,NaN,1.7409686118193066E-10,9.45369819881791E-11,8.520195836568457E-14,8.43573048429312E-11,3.4045027048406807E-13,5.395002798499068E-19,7.204566503408988E-18,NaN,NaN,1.5412128984085313E-10,1.6295315289409844E-10,4.7729078014535535E-12,9.63050058819055E-10,4.498633537557776E-11,2.4122251238560513E-21,7.294484140546076E-16,NaN,NaN,1.5369696855533063E-10,3.5544705161094254E-11,1.1773465832912476E-12,6.3267233564195034E-12,6.092467382507547E-15,5.740674151168603E-15,1.065301396012794E-14,NaN,NaN,4.069338587874146E-9,1.2929183700514958E-9,7.39006358507173E-10,2.688907152357493E-11,6.690635923471447E-13,1.6524824845886937E-22,3.106385432314061E-17,NaN,NaN,3.4001346272232036E-12,1.1568643427092552E-11,2.9794650037378846E-13,
IBk-1-LOOCV-gen,NaN,2.0214905884585792E-10,NaN,1.81959516723542E-18,NaN,NaN,NaN,2.4364062723474917E-11,2.4364062723474917E-11,2.1987142396491612E-8,1.064930861218406E-10,1.9536463700827842E-22,5.655368676167708E-16,NaN,NaN,2.2344644330865023E-11,2.750233029512471E-9,5.146733734012878E-10,3.4561037921905264E-11,3.5333433217785805E-12,4.393228593521583E-22,3.750431535502219E-16,NaN,NaN,1.3192173537420461E-10,3.3198031817120836E-10,1.7359415505914132E-11,1.1669419103643956E-10,6.4655715352070085E-15,1.954213385484801E-22,2.2754791751065342E-17,NaN,NaN,3.40140476100675E-12,1.584353602120996E-10,3.3055858173113557E-12,1.9386522413230285E-7,1.7779046485120411E-9,1.0052311663270336E-13,8.220671077075518E-16,NaN,NaN,6.090284455531241E-7,7.882339172965715E-10,2.770665619910852E-10,8.66616248535737E-9,1.003225279719593E-11,9.231602036773728E-17,5.766972889051609E-15,NaN,NaN,9.573225836283012E-8,1.9095931415249635E-11,6.0396712138401406E-12,9.884129485660243E-10,8.360764089429536E-10,6.7086624975118135E-18,3.25495798454766E-14,NaN,NaN,2.1118970749937226E-10,3.669447618468662E-10,1.456530879959677E-10,2.7540115587727933E-8,3.613090800597757E-10,2.763680947276411E-21,7.814772370191325E-16,NaN,NaN,6.982018632729695E-12,3.2838781610803715E-10,5.129641683333272E-12,8.319783831003303E-11,4.275948790778415E-12,2.5647414980456272E-23,1.8111153053146703E-18,NaN,NaN,1.7409686118193066E-10,9.45369819881791E-11,8.520195836568457E-14,8.43573048429312E-11,3.4045027048406807E-13,5.395002798499068E-19,7.204566503408988E-18,NaN,NaN,1.5412128984085313E-10,1.6295315289409844E-10,4.7729078014535535E-12,9.63050058819055E-10,4.498633537557776E-11,2.4122251238560513E-21,7.294484140546076E-16,NaN,NaN,1.5369696855533063E-10,3.5544705161094254E-11,1.1773465832912476E-12,6.3267233564195034E-12,6.092467382507547E-15,5.740674151168603E-15,1.065301396012794E-14,NaN,NaN,4.069338587874146E-9,1.2929183700514958E-9,7.39006358507173E-10,2.688907152357493E-11,6.690635923471447E-13,1.6524824845886937E-22,3.106385432314061E-17,NaN,NaN,3.4001346272232036E-12,1.1568643427092552E-11,2.9794650037378846E-13,
IBk-1-Resample,NaN,2.0214905884585792E-10,NaN,1.81959516723542E-18,NaN,NaN,NaN,2.4364062723474917E-11,2.4364062723474917E-11,2.1987142396491612E-8,1.064930861218406E-10,1.9536463700827842E-22,5.655368676167708E-16,NaN,NaN,2.2344644330865023E-11,2.750233029512471E-9,5.146733734012878E-10,3.4561037921905264E-11,3.5333433217785805E-12,4.393228593521583E-22,3.750431535502219E-16,NaN,NaN,1.3192173537420461E-10,3.3198031817120836E-10,1.7359415505914132E-11,1.1669419103643956E-10,6.4655715352070085E-15,1.954213385484801E-22,2.2754791751065342E-17,NaN,NaN,3.40140476100675E-12,1.584353602120996E-10,3.3055858173113557E-12,1.9386522413230285E-7,1.7779046485120411E-9,1.0052311663270336E-13,8.220671077075518E-16,NaN,NaN,6.090284455531241E-7,7.882339172965715E-10,2.770665619910852E-10,8.66616248535737E-9,1.003225279719593E-11,9.231602036773728E-17,5.766972889051609E-15,NaN,NaN,9.573225836283012E-8,1.9095931415249635E-11,6.0396712138401406E-12,9.884129485660243E-10,8.360764089429536E-10,6.7086624975118135E-18,3.25495798454766E-14,NaN,NaN,2.1118970749937226E-10,3.669447618468662E-10,1.456530879959677E-10,2.7540115587727933E-8,3.613090800597757E-10,2.763680947276411E-21,7.814772370191325E-16,NaN,NaN,6.982018632729695E-12,3.2838781610803715E-10,5.129641683333272E-12,8.319783831003303E-11,4.275948790778415E-12,2.5647414980456272E-23,1.8111153053146703E-18,NaN,NaN,1.7409686118193066E-10,9.45369819881791E-11,8.520195836568457E-14,8.43573048429312E-11,3.4045027048406807E-13,5.395002798499068E-19,7.204566503408988E-18,NaN,NaN,1.5412128984085313E-10,1.6295315289409844E-10,4.7729078014535535E-12,9.63050058819055E-10,4.498633537557776E-11,2.4122251238560513E-21,7.294484140546076E-16,NaN,NaN,1.5369696855533063E-10,3.5544705161094254E-11,1.1773465832912476E-12,6.3267233564195034E-12,6.092467382507547E-15,5.740674151168603E-15,1.065301396012794E-14,NaN,NaN,4.069338587874146E-9,1.2929183700514958E-9,7.39006358507173E-10,2.688907152357493E-11,6.690635923471447E-13,1.6524824845886937E-22,3.106385432314061E-17,NaN,NaN,3.4001346272232036E-12,1.1568643427092552E-11,2.9794650037378846E-13,
IBk-1-Resample-gen,2.4364062723474917E-11,0.6538398002193191,2.4364062723474917E-11,0.22975059948221377,2.4364062723474917E-11,2.4364062723474917E-11,2.4364062723474917E-11,NaN,2.4364062723475E-11,1.7830336874074343E-7,0.0622785413825537,8.565440767009103E-9,0.004250948848770954,2.4364062723474917E-11,2.4364062723474917E-11,2.501992654633431E-10,0.43160719364043176,1.2155890246427108E-4,6.432080585529876E-7,0.0019697905160028263,4.219531421599936E-8,6.676636986840598E-5,2.4364062723474917E-11,2.4364062723474917E-11,1.4983377823962346E-7,0.030023834355092583,2.558796215285736E-5,9.694572601154352E-6,4.717055421278294E-4,2.0746515073986382E-7,7.554762423828797E-6,2.4364062723474917E-11,2.4364062723474917E-11,1.911440114521208E-7,7.956382183444842E-4,1.0177239318455148E-5,1.4756379797553943E-4,0.02956353539295006,3.282490680892227E-8,7.415631856947248E-5,2.4364062723474917E-11,2.4364062723474917E-11,9.026996692328308E-9,0.007384820366268596,2.5223020882913564E-6,7.466180274844194E-6,0.0022938710811788196,5.010241434219621E-7,2.977241230901612E-5,2.4364062723474917E-11,2.4364062723474917E-11,1.5466243353294682E-8,1.6227694042620147E-4,3.5285419920124145E-7,3.9534470738534E-5,0.017725834217661444,1.4456806279978663E-6,8.088964801297677E-5,2.4364062723474917E-11,2.4364062723474917E-11,2.176014594503341E-8,7.664425785501227E-6,9.610320908549694E-8,0.001186155910725542,0.021754881319812805,3.0549713080238343E-6,9.897076375373889E-6,2.4364062723474917E-11,2.4364062723474917E-11,2.628612340372209E-7,6.39877627756856E-4,5.493149184213011E-5,1.264409471663896E-6,1.137825274804167E-4,1.6265714387020099E-6,5.166575209248204E-6,2.4364062723474917E-11,2.4364062723474917E-11,8.787457524607632E-6,1.337845055215395E-4,7.262046806145684E-6,1.59343834558822E-7,0.0015953321333102809,1.0518836374940096E-6,1.7576145314991364E-4,2.4364062723474917E-11,2.4364062723474917E-11,1.614657440161776E-7,0.0032997832888682762,1.944428398356662E-5,6.639904275868243E-10,0.039973621094847964,3.570627039249038E-7,1.3329757385368895E-4,2.4364062723474917E-11,2.4364062723474917E-11,1.525254719322883E-8,0.004284949329382573,2.7070576219818855E-5,0.09326691443984754,2.915933343466957E-4,0.8763758048533783,0.24738311191480777,2.4364062723474917E-11,2.4364062723474917E-11,0.004240794000389827,0.11701382205671018,0.03828206930871166,1.5498208950279665E-6,0.003793824784328246,7.988194181966454E-6,1.438721794962552E-4,2.4364062723474917E-11,2.4364062723474917E-11,5.45249281916052E-7,0.002532447442703981,6.0912775038788914E-5,
IBk-1-ResampleBootstrap-gen,2.4364062723474917E-11,5.182295474789866E-6,2.4364062723474917E-11,2.4430890099186516E-8,2.4364062723474917E-11,2.4364062723474917E-11,2.4364062723474917E-11,2.4364062723475E-11,NaN,7.353717329096332E-4,5.8682127380038725E-5,5.486406492379676E-6,4.116406260669042E-7,2.4364062723474917E-11,2.4364062723474917E-11,6.111223684639453E-9,9.009824004299572E-5,0.009214985059338338,0.12049099600030772,1.4636808442988896E-6,0.0023428240723901593,5.926446643450692E-7,2.4364062723474917E-11,2.4364062723474917E-11,2.428646143273473E-4,1.6285719273018205E-5,0.001089685770251967,0.23564915069158254,4.353622699788156E-6,0.5811199831928886,2.0788690180431485E-5,2.4364062723474917E-11,2.4364062723474917E-11,0.1376476645677927,9.167077387666934E-5,3.410484992570921E-4,0.9408165215044108,2.410432690968193E-5,0.02526538491239487,1.2765835322522025E-6,2.4364062723474917E-11,2.4364062723474917E-11,3.9412885952183666E-7,1.323925104671942E-4,0.8934239607630465,0.35882270373985403,5.339126723134243E-6,0.0011439144170473133,4.512756913422701E-5,2.4364062723474917E-11,2.4364062723474917E-11,2.91103788974878E-5,5.537410757189749E-5,0.05854700945039457,0.048873514630552665,3.862726498980512E-5,4.3086496279131845E-4,4.829238671627277E-5,2.4364062723474917E-11,2.4364062723474917E-11,0.004106056919044081,1.3940609518600042E-6,3.663983829779808E-5,0.014939431958682982,4.543764489248699E-5,4.710486980939889E-5,9.190119217546879E-7,2.4364062723474917E-11,2.4364062723474917E-11,5.072917748879728E-4,0.005056332632903404,0.0011455481767881544,0.0040987890057546505,5.816624216218207E-4,3.5660800510686666E-4,3.8240661862452384E-5,2.4364062723474917E-11,2.4364062723474917E-11,0.02507009973394474,2.194266718106274E-4,2.5386805514815095E-5,0.009137248745451253,2.862231380072773E-7,0.0015484303696433775,4.272649412994615E-7,2.4364062723474917E-11,2.4364062723474917E-11,0.7117151692692548,4.3265099449021155E-5,3.327719964423005E-5,1.8529087668885655E-5,1.0936934443626078E-4,0.1318915948751221,1.7307816892105722E-6,2.4364062723474917E-11,2.4364062723474917E-11,0.018269617942911275,1.3628381939529045E-4,5.603888261641325E-4,1.4112091502760106E-7,5.786597302535902E-10,7.533221140955298E-9,5.571024880829021E-9,2.4364062723474917E-11,2.4364062723474917E-11,0.001008442942815014,9.50719195396759E-5,9.330973670203554E-5,0.008124141205801209,1.430489966538232E-5,2.2486784107427355E-5,2.8189026564875197E-6,2.4364062723474917E-11,2.4364062723474917E-11,0.025432731158591414,1.761125830458964E-5,1.894451086611174E-5,
IBk-3-Holdout,2.1987142396491612E-8,1.1070981499083722E-6,2.1987142396491612E-8,2.3600914637460277E-8,2.1987142396491612E-8,2.1987142396491612E-8,2.1987142396491612E-8,1.7830336874074343E-7,7.353717329096332E-4,NaN,1.718954131138906E-6,0.8820235492398036,1.949512650238156E-7,2.1987142396491612E-8,2.1987142396491612E-8,0.006393916446547635,1.0535724175994299E-5,1.5635849126529027E-4,0.00947225649193215,3.2550685060408137E-6,0.010282994297868357,5.129589093055378E-7,2.1987142396491612E-8,2.1987142396491612E-8,0.8001037890818723,1.944258115377791E-7,9.26549429851454E-7,4.5150498481694364E-5,3.676674808320742E-7,1.567208128705484E-4,2.219582787943239E-6,2.1987142396491612E-8,2.1987142396491612E-8,0.004355207013594578,3.29807025048935E-5,5.6680618892781715E-5,0.008087470840922855,1.6894728128421527E-5,0.0017519693056897278,1.456647635821521E-6,2.1987142396491612E-8,2.1987142396491612E-8,6.209199616823545E-5,2.0760694273551208E-5,0.0025433288591946743,0.002465524577380962,3.017153202617786E-6,2.101902740686402E-5,1.903570578291932E-6,2.1987142396491612E-8,2.1987142396491612E-8,0.027461050431069053,1.5735313998075226E-5,7.668089740315391E-5,4.730100417313591E-5,2.6065779821804667E-5,8.225383489730899E-6,1.6941886436446988E-6,2.1987142396491612E-8,2.1987142396491612E-8,0.024817544069624903,4.497728081526579E-6,2.3094133328215923E-5,1.3181809342566729E-4,8.318979019334666E-6,3.2196475815863308E-6,5.689559212377575E-7,2.1987142396491612E-8,2.1987142396491612E-8,5.006688922488254E-5,9.978166302440911E-5,3.546617313243006E-5,3.5466923263342415E-5,3.331304272070026E-6,6.592005643853328E-6,1.6759891267068544E-6,2.1987142396491612E-8,2.1987142396491612E-8,4.3735327065483394E-5,2.0050376350517898E-5,4.221840250849699E-6,0.0054772519246840705,1.2446548231743126E-7,1.3705040889233827E-5,2.0948916401296184E-7,2.1987142396491612E-8,2.1987142396491612E-8,2.851879161013213E-4,1.2262922177272274E-5,9.41371093558186E-6,0.3202351258312277,5.39355880753785E-6,9.027993832931368E-5,9.399052202907527E-7,2.1987142396491612E-8,2.1987142396491612E-8,0.0111680010798361,2.0716337981972897E-5,4.874591085058478E-5,1.934104343413172E-7,4.488442070765949E-10,3.0084317451883725E-8,1.8408906935698966E-8,2.1987142396491612E-8,2.1987142396491612E-8,2.1122460992041065E-5,3.5175097019182974E-6,3.071877983549988E-6,4.3079057730322745E-5,6.488609342821774E-7,2.0639861784181705E-6,1.671826845621703E-7,2.1987142396491612E-8,2.1987142396491612E-8,1.4064979215339227E-5,2.0428382754109514E-6,1.4354537523548242E-6,
