#Algorithm,IBk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NBC,,,,,,,,,SMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Parameter,1,,,,,,,,,3,,,,,,,,,5,,,,,,,,,10,,,,,,,,,2,,,,,,,,,5,,,,,,,,,10,,,,,,,,,30,,,,,,,,,,,,,,,,,,1-P,,,,,,,,,5-P,,,,,,,,,1-RBF,,,,,,,,,5-RBF,,,,,,,,,
#Gen Est Method,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,Holdout,Holdout-gen,CV,CV-gen,LOOCV,LOOCV-gen,Resample,Resample-gen,ResampleBootstrap-gen,
Run 1,0.0,0.18140929535232383,0.0,0.20099999999999998,0.0,0.0,0.0,0.22070844686648503,0.13948773841961853,0.0990990990990991,0.18590704647676162,0.101,0.192,0.0,0.0,0.077,0.19346049046321526,0.15137302997275204,0.10810810810810811,0.20239880059970014,0.121,0.177,0.0,0.0,0.102,0.1907356948228883,0.1591009591280654,0.13513513513513514,0.16941529235382308,0.13622222222222222,0.16699999999999998,0.0,0.0,0.123,0.1907356948228883,0.1670389591280654,0.12312312312312312,0.24887556221889057,0.12788888888888889,0.177,0.0,0.0,0.058,0.2098092643051771,0.15452345504087192,0.14414414414414414,0.21139430284857572,0.15177777777777773,0.16499999999999998,0.0,0.0,0.088,0.16893732970027248,0.1400323923705722,0.17717717717717718,0.23088455772113944,0.1498888888888889,0.172,0.0,0.0,0.131,0.18256130790190736,0.16489674659400544,0.14414414414414414,0.18590704647676162,0.15855555555555556,0.16299999999999998,0.0,0.0,0.141,0.15803814713896458,0.1531781089918256,0.17417417417417416,0.15292353823088456,0.1538888888888889,0.15999999999999998,0.0,0.0,0.129,0.1989100817438692,0.17447317166212534,0.13213213213213212,0.20239880059970014,0.15055555555555555,0.179,0.0,0.0,0.143,0.19346049046321526,0.17632102997275204,0.13213213213213212,0.1874062968515742,0.1407777777777778,0.173,0.0,0.0,0.137,0.1880108991825613,0.17060888828337875,0.24324324324324326,0.239880059970015,0.20855555555555552,0.219,0.0,0.0,0.146,0.19618528610354224,0.1791771008174387,0.14114114114114115,0.1889055472263868,0.1641111111111111,0.176,0.0,0.0,0.14,0.19346049046321526,0.17518702997275204,
Run 2,0.0,0.21139430284857572,0.0,0.20700000000000002,0.0,0.0,0.0,0.1771117166212534,0.11193460490463215,0.11711711711711711,0.22638680659670166,0.10222222222222224,0.194,0.0,0.0,0.07,0.2098092643051771,0.15905945504087193,0.13213213213213212,0.17541229385307347,0.121,0.17699999999999996,0.0,0.0,0.122,0.1880108991825613,0.16493888828337874,0.15015015015015015,0.18290854572713644,0.13655555555555557,0.164,0.0,0.0,0.126,0.14986376021798364,0.14234189645776568,0.15615615615615616,0.15892053973013492,0.1238888888888889,0.17499999999999996,0.0,0.0,0.064,0.16893732970027248,0.1309603923705722,0.11411411411411411,0.18290854572713644,0.1431111111111111,0.176,0.0,0.0,0.075,0.15258855585831063,0.12478596730245232,0.15015015015015015,0.15742128935532235,0.15433333333333332,0.16799999999999998,0.0,0.0,0.102,0.15258855585831063,0.13499196730245233,0.16516516516516516,0.17691154422788605,0.15866666666666668,0.16599999999999998,0.0,0.0,0.14,0.1880108991825613,0.17174288828337875,0.13213213213213212,0.1874062968515742,0.15433333333333332,0.16099999999999998,0.0,0.0,0.149,0.16621253405994552,0.16136832152588557,0.12312312312312312,0.18290854572713644,0.15233333333333332,0.18,0.0,0.0,0.136,0.17438692098092642,0.1616205340599455,0.08708708708708708,0.21739130434782608,0.14055555555555554,0.175,0.0,0.0,0.11,0.1907356948228883,0.1621249591280654,0.21921921921921922,0.2518740629685157,0.20555555555555557,0.21599999999999997,0.0,0.0,0.149,0.20435967302452315,0.18547731335149864,0.13513513513513514,0.19490254872563717,0.16344444444444445,0.18,0.0,0.0,0.139,0.17438692098092642,0.1627545340599455,
Run 3,0.0,0.22488755622188905,0.0,0.20400000000000001,0.0,0.0,0.0,0.23705722070844687,0.1498201634877384,0.13813813813813813,0.16941529235382308,0.10144444444444445,0.188,0.0,0.0,0.081,0.18528610354223432,0.14771881743869208,0.11711711711711711,0.17691154422788605,0.12055555555555557,0.179,0.0,0.0,0.09,0.23160762942779292,0.1803960217983651,0.14114114114114115,0.18140929535232383,0.13755555555555557,0.16399999999999998,0.0,0.0,0.121,0.16621253405994552,0.15078432152588556,0.13213213213213212,0.191904047976012,0.1325555555555556,0.16899999999999998,0.0,0.0,0.03,0.15803814713896458,0.11122010899182562,0.14714714714714713,0.18440779610194902,0.15055555555555558,0.16399999999999998,0.0,0.0,0.136,0.1553133514986376,0.14956603814713895,0.16816816816816818,0.17541229385307347,0.15555555555555556,0.16799999999999998,0.0,0.0,0.127,0.2016348773841962,0.17543924250681198,0.17417417417417416,0.17091454272863568,0.16066666666666668,0.175,0.0,0.0,0.161,0.1335149863760218,0.14523947138964577,0.15615615615615616,0.16941529235382308,0.15466666666666667,0.16399999999999998,0.0,0.0,0.165,0.14986376021798364,0.15708389645776566,0.13213213213213212,0.20089955022488756,0.15177777777777773,0.17899999999999996,0.0,0.0,0.148,0.16348773841961853,0.1592682506811989,0.11711711711711711,0.1619190404797601,0.1398888888888889,0.174,0.0,0.0,0.132,0.1444141689373297,0.14116575476839238,0.2012012012012012,0.2608695652173913,0.20844444444444443,0.21200000000000002,0.0,0.0,0.19,0.19618528610354224,0.19580910081743869,0.15015015015015015,0.17841079460269865,0.16266666666666665,0.18,0.0,0.0,0.158,0.18528610354223432,0.1768248174386921,
Run 4,0.0,0.18440779610194902,0.0,0.207,0.0,0.0,0.0,0.2125340599455041,0.1343215258855586,0.1021021021021021,0.1724137931034483,0.10133333333333332,0.18999999999999997,0.0,0.0,0.078,0.19618528610354224,0.1534731008174387,0.1111111111111111,0.19790104947526238,0.1202222222222222,0.16999999999999998,0.0,0.0,0.102,0.21525885558583105,0.17459959673024522,0.15615615615615616,0.18140929535232383,0.137,0.16799999999999998,0.0,0.0,0.122,0.17983651226158037,0.1597726757493188,0.10810810810810811,0.18440779610194902,0.1147777777777778,0.175,0.0,0.0,0.07,0.16621253405994552,0.13150632152588557,0.09309309309309309,0.17091454272863568,0.15133333333333335,0.16099999999999998,0.0,0.0,0.086,0.17166212534059946,0.14099846321525886,0.14414414414414414,0.20389805097451275,0.15177777777777776,0.175,0.0,0.0,0.121,0.17438692098092642,0.15595053405994552,0.16516516516516516,0.20239880059970014,0.15966666666666668,0.16899999999999998,0.0,0.0,0.157,0.15803814713896458,0.15922610899182563,0.14114114114114115,0.1619190404797601,0.15355555555555556,0.15899999999999997,0.0,0.0,0.142,0.18256130790190736,0.16905474659400543,0.10810810810810811,0.18290854572713644,0.14866666666666667,0.18399999999999997,0.0,0.0,0.126,0.19346049046321526,0.16989502997275205,0.0960960960960961,0.191904047976012,0.13999999999999999,0.175,0.0,0.0,0.142,0.16348773841961853,0.1570002506811989,0.21021021021021022,0.2563718140929535,0.2167777777777778,0.221,0.0,0.0,0.219,0.2506811989100817,0.24121251771117164,0.15915915915915915,0.1904047976011994,0.16266666666666665,0.175,0.0,0.0,0.143,0.16621253405994552,0.15910032152588557,
Run 5,0.0,0.22338830584707647,0.0,0.205,0.0,0.0,0.0,0.21525885558583105,0.13604359673024521,0.0990990990990991,0.191904047976012,0.101,0.18299999999999997,0.0,0.0,0.076,0.2615803814713896,0.19404680108991826,0.14114114114114115,0.17391304347826086,0.12044444444444444,0.16999999999999998,0.0,0.0,0.091,0.16621253405994552,0.13944432152588557,0.14714714714714713,0.18140929535232383,0.13644444444444445,0.16399999999999998,0.0,0.0,0.141,0.16621253405994552,0.15834432152588557,0.16816816816816818,0.17391304347826086,0.13055555555555554,0.181,0.0,0.0,0.055,0.17983651226158037,0.1344466757493188,0.15915915915915915,0.19640179910044978,0.1467777777777778,0.172,0.0,0.0,0.09,0.1880108991825613,0.15284288828337875,0.14114114114114115,0.20539730134932535,0.15611111111111112,0.16499999999999998,0.0,0.0,0.145,0.1989100817438692,0.18052117166212533,0.13213213213213212,0.20089955022488756,0.16066666666666662,0.175,0.0,0.0,0.147,0.19618528610354224,0.1795551008174387,0.14414414414414414,0.1724137931034483,0.15488888888888888,0.15999999999999998,0.0,0.0,0.151,0.1553133514986376,0.15523603814713896,0.12312312312312312,0.1724137931034483,0.15155555555555555,0.179,0.0,0.0,0.122,0.16621253405994552,0.15116232152588557,0.12012012012012012,0.18140929535232383,0.14222222222222225,0.176,0.0,0.0,0.111,0.18528610354223432,0.1590588174386921,0.23723723723723725,0.24287856071964017,0.20555555555555557,0.22199999999999998,0.0,0.0,0.156,0.15803814713896458,0.1588481089918256,0.17117117117117117,0.19790104947526238,0.16499999999999998,0.173,0.0,0.0,0.162,0.16893732970027248,0.16800439237057221,
Run 6,0.0,0.21139430284857572,0.0,0.20600000000000002,0.0,0.0,0.0,0.22615803814713897,0.14293188010899183,0.07207207207207207,0.20389805097451275,0.10066666666666665,0.195,0.0,0.0,0.083,0.18528610354223432,0.1484748174386921,0.13213213213213212,0.20539730134932535,0.12000000000000002,0.181,0.0,0.0,0.092,0.19346049046321526,0.15704302997275205,0.1111111111111111,0.18290854572713644,0.1368888888888889,0.16599999999999998,0.0,0.0,0.139,0.17983651226158037,0.1661986757493188,0.09009009009009009,0.19490254872563717,0.1312222222222222,0.18,0.0,0.0,0.039,0.1907356948228883,0.1352869591280654,0.14114114114114115,0.19490254872563717,0.14966666666666667,0.172,0.0,0.0,0.072,0.17438692098092642,0.1374285340599455,0.12312312312312312,0.19940029985007496,0.15699999999999997,0.16099999999999998,0.0,0.0,0.119,0.2016348773841962,0.17241524250681198,0.14714714714714713,0.18590704647676162,0.16077777777777777,0.16999999999999998,0.0,0.0,0.167,0.17166212534059946,0.17161646321525886,0.13513513513513514,0.16941529235382308,0.15466666666666667,0.15799999999999997,0.0,0.0,0.166,0.16076294277929154,0.16435017983651223,0.0990990990990991,0.1889055472263868,0.15222222222222223,0.18,0.0,0.0,0.143,0.17438692098092642,0.1642665340599455,0.12012012012012012,0.19790104947526238,0.142,0.176,0.0,0.0,0.141,0.19618528610354224,0.1772871008174387,0.23123123123123124,0.24587706146926536,0.20677777777777778,0.211,0.0,0.0,0.163,0.1880108991825613,0.18043688828337875,0.13513513513513514,0.18590704647676162,0.16366666666666668,0.174,0.0,0.0,0.135,0.1880108991825613,0.16985288828337874,
Run 7,0.0,0.18290854572713644,0.0,0.211,0.0,0.0,0.0,0.20435967302452315,0.12915531335149863,0.1111111111111111,0.21139430284857572,0.10166666666666666,0.192,0.0,0.0,0.069,0.16348773841961853,0.1294062506811989,0.12912912912912913,0.191904047976012,0.11955555555555555,0.177,0.0,0.0,0.098,0.19346049046321526,0.15931102997275204,0.13813813813813813,0.18440779610194902,0.13755555555555557,0.15999999999999998,0.0,0.0,0.136,0.17983651226158037,0.1650646757493188,0.15015015015015015,0.17391304347826086,0.13155555555555554,0.16899999999999996,0.0,0.0,0.058,0.20435967302452315,0.15107931335149863,0.15915915915915915,0.1679160419790105,0.1498888888888889,0.164,0.0,0.0,0.104,0.19346049046321526,0.16157902997275203,0.15015015015015015,0.17091454272863568,0.15188888888888888,0.168,0.0,0.0,0.119,0.18256130790190736,0.16036074659400545,0.15915915915915915,0.17841079460269865,0.1582222222222222,0.172,0.0,0.0,0.145,0.14986376021798364,0.14952389645776565,0.16516516516516516,0.1469265367316342,0.1542222222222222,0.161,0.0,0.0,0.169,0.16076294277929154,0.16548417983651226,0.12012012012012012,0.19490254872563717,0.1472222222222222,0.18399999999999997,0.0,0.0,0.149,0.16076294277929154,0.15792417983651225,0.0990990990990991,0.1889055472263868,0.1412222222222222,0.173,0.0,0.0,0.124,0.18528610354223432,0.16397281743869208,0.2552552552552553,0.23388305847076463,0.21600000000000003,0.22199999999999998,0.0,0.0,0.198,0.1771117166212534,0.18677860490463216,0.15315315315315314,0.17991004497751126,0.1632222222222222,0.18,0.0,0.0,0.148,0.2016348773841962,0.18337724250681198,
Run 8,0.0,0.2098950524737631,0.0,0.20599999999999996,0.0,0.0,0.0,0.23160762942779292,0.14637602179836512,0.0990990990990991,0.19640179910044978,0.10077777777777779,0.189,0.0,0.0,0.09,0.19346049046321526,0.15628702997275204,0.12612612612612611,0.1874062968515742,0.11966666666666667,0.183,0.0,0.0,0.111,0.16076294277929154,0.14356017983651226,0.14714714714714713,0.17391304347826086,0.13733333333333336,0.15999999999999998,0.0,0.0,0.122,0.17983651226158037,0.1597726757493188,0.17117117117117117,0.1889055472263868,0.12588888888888888,0.178,0.0,0.0,0.066,0.17166212534059946,0.13343846321525887,0.14114114114114115,0.1724137931034483,0.14888888888888888,0.16699999999999998,0.0,0.0,0.074,0.18256130790190736,0.14335074659400546,0.14714714714714713,0.1664167916041979,0.15266666666666667,0.16299999999999998,0.0,0.0,0.107,0.1907356948228883,0.1609909591280654,0.16816816816816818,0.17391304347826086,0.15855555555555556,0.177,0.0,0.0,0.151,0.16076294277929154,0.15868017983651225,0.16816816816816818,0.16041979010494753,0.1545555555555555,0.163,0.0,0.0,0.132,0.1907356948228883,0.1704409591280654,0.12012012012012012,0.1874062968515742,0.1517777777777778,0.18399999999999997,0.0,0.0,0.159,0.1989100817438692,0.18581317166212535,0.11711711711711711,0.17841079460269865,0.14011111111111113,0.181,0.0,0.0,0.119,0.17983651226158037,0.1586386757493188,0.23723723723723725,0.24287856071964017,0.22477777777777774,0.236,0.0,0.0,0.157,0.1771117166212534,0.17128060490463215,0.16516516516516516,0.1634182908545727,0.16255555555555556,0.174,0.0,0.0,0.151,0.16621253405994552,0.16212432152588557,
Run 9,0.0,0.24887556221889057,0.0,0.209,0.0,0.0,0.0,0.1989100817438692,0.12571117166212534,0.08408408408408409,0.1724137931034483,0.10088888888888888,0.197,0.0,0.0,0.084,0.23433242506811988,0.17985009264305177,0.12612612612612611,0.191904047976012,0.12111111111111113,0.17899999999999996,0.0,0.0,0.101,0.1880108991825613,0.15700088828337877,0.14414414414414414,0.18590704647676162,0.13811111111111113,0.16199999999999998,0.0,0.0,0.118,0.21525885558583105,0.18064759673024522,0.16516516516516516,0.20539730134932535,0.12077777777777779,0.174,0.0,0.0,0.042,0.16621253405994552,0.12092232152588557,0.15915915915915915,0.19490254872563717,0.1511111111111111,0.16099999999999998,0.0,0.0,0.087,0.17983651226158037,0.14654267574931878,0.18018018018018017,0.20839580209895053,0.1518888888888889,0.184,0.0,0.0,0.11,0.1444141689373297,0.13284975476839236,0.15015015015015015,0.18290854572713644,0.15855555555555556,0.16799999999999998,0.0,0.0,0.143,0.16348773841961853,0.1573782506811989,0.15315315315315314,0.16491754122938532,0.15322222222222223,0.16399999999999998,0.0,0.0,0.137,0.16076294277929154,0.15338817983651226,0.12312312312312312,0.19640179910044978,0.15122222222222223,0.177,0.0,0.0,0.12,0.1907356948228883,0.1659049591280654,0.1111111111111111,0.21139430284857572,0.1416666666666667,0.18599999999999997,0.0,0.0,0.111,0.1880108991825613,0.16078088828337875,0.22822822822822822,0.24737631184407796,0.2181111111111111,0.22199999999999998,0.0,0.0,0.196,0.1989100817438692,0.19979917166212535,0.15015015015015015,0.18590704647676162,0.16388888888888892,0.179,0.0,0.0,0.147,0.2016348773841962,0.182999242506812,
Run 10,0.0,0.21889055472263869,0.0,0.20599999999999996,0.0,0.0,0.0,0.21525885558583105,0.13604359673024521,0.0990990990990991,0.19940029985007496,0.10155555555555555,0.183,0.0,0.0,0.078,0.22070844686648503,0.16897173841961854,0.13513513513513514,0.1724137931034483,0.11944444444444444,0.177,0.0,0.0,0.096,0.20708446866485014,0.16716538419618532,0.16216216216216217,0.17091454272863568,0.13799999999999998,0.16099999999999998,0.0,0.0,0.133,0.16348773841961853,0.15359825068119892,0.0960960960960961,0.21739130434782608,0.127,0.182,0.0,0.0,0.041,0.22343324250681199,0.1567078092643052,0.16216216216216217,0.18140929535232383,0.1542222222222222,0.161,0.0,0.0,0.096,0.16076294277929154,0.13789017983651225,0.13213213213213212,0.18440779610194902,0.1552222222222222,0.16799999999999998,0.0,0.0,0.12,0.17166212534059946,0.15385046321525886,0.24024024024024024,0.2413793103448276,0.15955555555555556,0.16899999999999998,0.0,0.0,0.169,0.16621253405994552,0.16892832152588558,0.15015015015015015,0.16491754122938532,0.15344444444444444,0.16299999999999998,0.0,0.0,0.166,0.16893732970027248,0.1695163923705722,0.10510510510510511,0.18140929535232383,0.1492222222222222,0.177,0.0,0.0,0.122,0.21798365122615804,0.18388166757493188,0.10510510510510511,0.17691154422788605,0.1418888888888889,0.18299999999999997,0.0,0.0,0.122,0.18256130790190736,0.16149474659400545,0.2222222222222222,0.25037481259370314,0.21944444444444447,0.22999999999999998,0.0,0.0,0.196,0.2125340599455041,0.2084095258855586,0.14114114114114115,0.17691154422788605,0.1632222222222222,0.172,0.0,0.0,0.133,0.1880108991825613,0.16909688828337877,
