#,IBk-1-Holdout,IBk-1-Holdout-gen,IBk-1-CV,IBk-1-CV-gen,IBk-1-LOOCV,IBk-1-LOOCV-gen,IBk-1-Resample,IBk-1-Resample-gen,IBk-1-ResampleBootstrap-gen,IBk-3-Holdout,IBk-3-Holdout-gen,IBk-3-CV,IBk-3-CV-gen,IBk-3-LOOCV,IBk-3-LOOCV-gen,IBk-3-Resample,IBk-3-Resample-gen,IBk-3-ResampleBootstrap-gen,IBk-5-Holdout,IBk-5-Holdout-gen,IBk-5-CV,IBk-5-CV-gen,IBk-5-LOOCV,IBk-5-LOOCV-gen,IBk-5-Resample,IBk-5-Resample-gen,IBk-5-ResampleBootstrap-gen,IBk-10-Holdout,IBk-10-Holdout-gen,IBk-10-CV,IBk-10-CV-gen,IBk-10-LOOCV,IBk-10-LOOCV-gen,IBk-10-Resample,IBk-10-Resample-gen,IBk-10-ResampleBootstrap-gen,J48-2-Holdout,J48-2-Holdout-gen,J48-2-CV,J48-2-CV-gen,J48-2-LOOCV,J48-2-LOOCV-gen,J48-2-Resample,J48-2-Resample-gen,J48-2-ResampleBootstrap-gen,J48-5-Holdout,J48-5-Holdout-gen,J48-5-CV,J48-5-CV-gen,J48-5-LOOCV,J48-5-LOOCV-gen,J48-5-Resample,J48-5-Resample-gen,J48-5-ResampleBootstrap-gen,J48-10-Holdout,J48-10-Holdout-gen,J48-10-CV,J48-10-CV-gen,J48-10-LOOCV,J48-10-LOOCV-gen,J48-10-Resample,J48-10-Resample-gen,J48-10-ResampleBootstrap-gen,J48-30-Holdout,J48-30-Holdout-gen,J48-30-CV,J48-30-CV-gen,J48-30-LOOCV,J48-30-LOOCV-gen,J48-30-Resample,J48-30-Resample-gen,J48-30-ResampleBootstrap-gen,NBC--Holdout,NBC--Holdout-gen,NBC--CV,NBC--CV-gen,NBC--LOOCV,NBC--LOOCV-gen,NBC--Resample,NBC--Resample-gen,NBC--ResampleBootstrap-gen,SMO-1-P-Holdout,SMO-1-P-Holdout-gen,SMO-1-P-CV,SMO-1-P-CV-gen,SMO-1-P-LOOCV,SMO-1-P-LOOCV-gen,SMO-1-P-Resample,SMO-1-P-Resample-gen,SMO-1-P-ResampleBootstrap-gen,SMO-5-P-Holdout,SMO-5-P-Holdout-gen,SMO-5-P-CV,SMO-5-P-CV-gen,SMO-5-P-LOOCV,SMO-5-P-LOOCV-gen,SMO-5-P-Resample,SMO-5-P-Resample-gen,SMO-5-P-ResampleBootstrap-gen,SMO-1-RBF-Holdout,SMO-1-RBF-Holdout-gen,SMO-1-RBF-CV,SMO-1-RBF-CV-gen,SMO-1-RBF-LOOCV,SMO-1-RBF-LOOCV-gen,SMO-1-RBF-Resample,SMO-1-RBF-Resample-gen,SMO-1-RBF-ResampleBootstrap-gen,SMO-5-RBF-Holdout,SMO-5-RBF-Holdout-gen,SMO-5-RBF-CV,SMO-5-RBF-CV-gen,SMO-5-RBF-LOOCV,SMO-5-RBF-LOOCV-gen,SMO-5-RBF-Resample,SMO-5-RBF-Resample-gen,SMO-5-RBF-ResampleBootstrap-gen,
IBk-1-Holdout,NaN,8.538051223166281E-6,NaN,0.0,NaN,NaN,NaN,0.00953461304130103,0.00953461304130103,9.593102991236757E-4,0.00698030292867693,0.0,0.0,NaN,NaN,0.00846815040315423,0.19342205960333203,0.02898267920362094,0.0012255637610538179,0.007034272439032621,2.6958428717098067E-17,0.0,NaN,NaN,0.003771557558705979,0.0010538712570165544,2.3016517113922945E-4,1.8988643546201945E-4,2.2492882744072162E-5,1.6860953849890916E-10,1.3569595408313583E-6,NaN,NaN,6.701223914264611E-4,0.011871767243102002,0.0028197437927179416,0.0016125446941837984,1.4389301535644724E-5,1.8537582124542017E-10,3.5410385009764316E-9,NaN,NaN,1.974330883718655E-4,2.0799391921612238E-5,1.5334735773717126E-5,1.3633596295701998E-6,2.329322472539756E-6,3.3794480562011293E-10,1.5157144738912398E-9,NaN,NaN,1.2575086805964293E-6,8.538051223166281E-6,3.4445182266588113E-6,1.5185481792766925E-5,4.3840125950437484E-7,6.298033186564015E-12,2.2055970255855762E-9,NaN,NaN,8.952223416190967E-6,5.185779612675112E-6,2.067438153293318E-6,1.1562700114691065E-7,2.4409431868648163E-9,3.0098016163098905E-10,5.249100912489642E-10,NaN,NaN,2.4568314811302102E-6,7.509132248518672E-6,3.096223083645258E-6,2.8361221941587754E-9,5.8207262258538307E-11,2.0307345600529405E-24,3.1878147513963505E-20,NaN,NaN,9.592257121946609E-12,2.065397834418675E-10,7.84531302179336E-12,1.6637242579033085E-7,7.090151947335252E-7,2.386859479733229E-16,2.354476940451564E-13,NaN,NaN,1.6247721079311823E-6,1.084297188092331E-6,1.0279432548871107E-8,7.359731619284716E-6,1.3026708409626059E-6,4.515497097362767E-16,2.11310235648389E-11,NaN,NaN,1.202740081836934E-6,4.2615901611204973E-7,1.670466635076299E-10,6.358354173448814E-13,2.948084713625571E-14,6.563611705412516E-23,1.8207775045190387E-20,NaN,NaN,6.612377390132133E-7,4.6800165803678474E-6,1.7212652585131964E-6,1.3241952105059626E-11,5.789649422706685E-9,9.038525460240938E-19,2.1199330088236463E-16,NaN,NaN,2.802588943232881E-9,2.0983502679883882E-7,5.244206434146447E-10,
IBk-1-Holdout-gen,8.538051223166281E-6,NaN,8.538051223166281E-6,0.34527310906458897,8.538051223166281E-6,8.538051223166281E-6,8.538051223166281E-6,0.5232985755992499,0.012216045797947689,0.14571940295014021,0.05514452880623834,0.34527310906458897,0.34527310906458897,8.538051223166281E-6,8.538051223166281E-6,0.03434309244558396,0.0212846176626724,0.004821937101729099,0.03490885451429176,0.05385546854866241,0.3323927253845449,0.34527310906458897,8.538051223166281E-6,8.538051223166281E-6,0.0029498271989379533,0.5108063099354536,0.7654124388759753,0.0010427867051525511,8.849385330584255E-5,0.2712680357648013,0.15297083491413066,8.538051223166281E-6,8.538051223166281E-6,0.18481566091934765,0.2139471901904092,0.1580251583645863,0.013716815053384897,2.1967507608897114E-5,6.168523457694221E-6,1.3859192514634485E-8,8.538051223166281E-6,8.538051223166281E-6,0.3875884581147514,5.5943032215873506E-5,6.960971156431297E-5,2.491961390408698E-6,4.090660767791881E-6,1.9791444626237912E-8,1.0947977570652645E-8,8.538051223166281E-6,8.538051223166281E-6,5.293214297239589E-4,2.2854125929141486E-5,1.5752018203278475E-5,3.327724032096674E-5,7.171549905647785E-7,4.957979754437012E-11,9.299390346093122E-9,8.538051223166281E-6,8.538051223166281E-6,2.1320837487038875E-5,8.823985360329386E-6,3.9001315768444185E-6,1.7265044812355112E-7,3.2945889286524813E-9,7.792166018399251E-10,1.0162843748102508E-9,8.538051223166281E-6,8.538051223166281E-6,3.220268703192094E-6,9.321251697304396E-6,3.855226729617759E-6,3.1183045033711014E-9,5.754530415825155E-11,1.9350192383747272E-21,7.046733332660979E-20,8.538051223166281E-6,8.538051223166281E-6,1.1610372264946715E-11,2.7328013850940225E-10,1.1143211441057498E-11,2.6530052278156176E-7,1.9732313412186904E-6,1.0588445601827888E-12,1.3771029879023022E-11,8.538051223166281E-6,8.538051223166281E-6,8.037455925629228E-6,4.905040998049884E-6,1.1915835116032169E-7,3.727494520057774E-5,4.869992808234644E-6,2.2164266362470943E-11,1.0822588216194853E-9,8.538051223166281E-6,8.538051223166281E-6,1.8390804823086124E-5,7.417295984362628E-7,3.7413752952849075E-9,6.340460887978383E-13,3.265467533932472E-14,1.1387443923487388E-20,2.754664867846405E-20,8.538051223166281E-6,8.538051223166281E-6,7.114827682307553E-7,4.9987404704692255E-6,1.8338269728913217E-6,1.6930885614546812E-11,6.684509777945548E-9,9.157942400466075E-16,2.1923951511498432E-15,8.538051223166281E-6,8.538051223166281E-6,3.910870519775562E-9,2.800944238620985E-7,4.5306678976315755E-10,
IBk-1-CV,NaN,8.538051223166281E-6,NaN,0.0,NaN,NaN,NaN,0.00953461304130103,0.00953461304130103,9.593102991236757E-4,0.00698030292867693,0.0,0.0,NaN,NaN,0.00846815040315423,0.19342205960333203,0.02898267920362094,0.0012255637610538179,0.007034272439032621,2.6958428717098067E-17,0.0,NaN,NaN,0.003771557558705979,0.0010538712570165544,2.3016517113922945E-4,1.8988643546201945E-4,2.2492882744072162E-5,1.6860953849890916E-10,1.3569595408313583E-6,NaN,NaN,6.701223914264611E-4,0.011871767243102002,0.0028197437927179416,0.0016125446941837984,1.4389301535644724E-5,1.8537582124542017E-10,3.5410385009764316E-9,NaN,NaN,1.974330883718655E-4,2.0799391921612238E-5,1.5334735773717126E-5,1.3633596295701998E-6,2.329322472539756E-6,3.3794480562011293E-10,1.5157144738912398E-9,NaN,NaN,1.2575086805964293E-6,8.538051223166281E-6,3.4445182266588113E-6,1.5185481792766925E-5,4.3840125950437484E-7,6.298033186564015E-12,2.2055970255855762E-9,NaN,NaN,8.952223416190967E-6,5.185779612675112E-6,2.067438153293318E-6,1.1562700114691065E-7,2.4409431868648163E-9,3.0098016163098905E-10,5.249100912489642E-10,NaN,NaN,2.4568314811302102E-6,7.509132248518672E-6,3.096223083645258E-6,2.8361221941587754E-9,5.8207262258538307E-11,2.0307345600529405E-24,3.1878147513963505E-20,NaN,NaN,9.592257121946609E-12,2.065397834418675E-10,7.84531302179336E-12,1.6637242579033085E-7,7.090151947335252E-7,2.386859479733229E-16,2.354476940451564E-13,NaN,NaN,1.6247721079311823E-6,1.084297188092331E-6,1.0279432548871107E-8,7.359731619284716E-6,1.3026708409626059E-6,4.515497097362767E-16,2.11310235648389E-11,NaN,NaN,1.202740081836934E-6,4.2615901611204973E-7,1.670466635076299E-10,6.358354173448814E-13,2.948084713625571E-14,6.563611705412516E-23,1.8207775045190387E-20,NaN,NaN,6.612377390132133E-7,4.6800165803678474E-6,1.7212652585131964E-6,1.3241952105059626E-11,5.789649422706685E-9,9.038525460240938E-19,2.1199330088236463E-16,NaN,NaN,2.802588943232881E-9,2.0983502679883882E-7,5.244206434146447E-10,
IBk-1-CV-gen,0.0,0.34527310906458897,0.0,NaN,0.0,0.0,0.0,0.8769522283128112,0.05890214997945199,0.060945618585217264,0.03330524384564694,NaN,NaN,0.0,0.0,0.008468150403154214,0.07253689336415371,0.010725214171611175,0.02004700827527171,0.040266302369643764,0.34343639613791377,NaN,0.0,0.0,0.003771557558705979,0.23875749692596449,0.7850941036070699,8.872026007352014E-4,7.089463086540888E-5,0.49446565128734443,0.01070801995567475,0.0,0.0,0.07679627097006278,0.142958289336035,0.0839482314250014,0.011593853943393396,2.1972090852766146E-5,2.1408456625164355E-8,8.222671628123135E-9,0.0,0.0,0.15297630918246918,4.216524214175016E-5,4.486188814189684E-5,3.283979838157402E-6,3.1857921316938974E-6,2.6463544394759414E-9,3.1183930496569282E-9,0.0,0.0,4.0141735355835456E-5,1.6641009728955995E-5,8.998450736429135E-6,2.9167062630596534E-5,5.9577174527315E-7,3.0022642519903006E-11,4.7506422158641346E-9,0.0,0.0,3.389860521145007E-5,8.272559963268172E-6,3.853607889683031E-6,1.4419845283618296E-7,2.8593549342355894E-9,4.28727341579891E-10,6.754735720154537E-10,0.0,0.0,3.9799370891894685E-6,9.962768463469337E-6,4.329060974246769E-6,3.2008773552872928E-9,6.527799485748457E-11,2.275215006968916E-24,3.5658780540227145E-20,0.0,0.0,1.0767133135020486E-11,2.3094410605565988E-10,8.777721296552997E-12,3.5215208713461883E-7,1.477168810072443E-6,7.476882189563977E-16,7.048793840631701E-13,0.0,0.0,4.656874177889512E-6,2.6479279255448896E-6,2.739590038848302E-8,2.1849927547998722E-5,3.308525018769342E-6,2.1700243919368714E-15,8.867474421876249E-11,0.0,0.0,4.562170503329286E-6,2.17710561781859E-6,8.037950190564905E-10,6.635071136528371E-13,3.068134072049348E-14,7.295295015327944E-23,2.022260034864696E-20,0.0,0.0,7.330273721691356E-7,5.182657252032759E-6,1.906067857809766E-6,1.5809027605912877E-11,6.911567812133188E-9,1.3870364141379943E-18,3.2639529448775095E-16,0.0,0.0,4.398351666340523E-9,3.273317091562804E-7,8.242027594448559E-10,
IBk-1-LOOCV,NaN,8.538051223166281E-6,NaN,0.0,NaN,NaN,NaN,0.00953461304130103,0.00953461304130103,9.593102991236757E-4,0.00698030292867693,0.0,0.0,NaN,NaN,0.00846815040315423,0.19342205960333203,0.02898267920362094,0.0012255637610538179,0.007034272439032621,2.6958428717098067E-17,0.0,NaN,NaN,0.003771557558705979,0.0010538712570165544,2.3016517113922945E-4,1.8988643546201945E-4,2.2492882744072162E-5,1.6860953849890916E-10,1.3569595408313583E-6,NaN,NaN,6.701223914264611E-4,0.011871767243102002,0.0028197437927179416,0.0016125446941837984,1.4389301535644724E-5,1.8537582124542017E-10,3.5410385009764316E-9,NaN,NaN,1.974330883718655E-4,2.0799391921612238E-5,1.5334735773717126E-5,1.3633596295701998E-6,2.329322472539756E-6,3.3794480562011293E-10,1.5157144738912398E-9,NaN,NaN,1.2575086805964293E-6,8.538051223166281E-6,3.4445182266588113E-6,1.5185481792766925E-5,4.3840125950437484E-7,6.298033186564015E-12,2.2055970255855762E-9,NaN,NaN,8.952223416190967E-6,5.185779612675112E-6,2.067438153293318E-6,1.1562700114691065E-7,2.4409431868648163E-9,3.0098016163098905E-10,5.249100912489642E-10,NaN,NaN,2.4568314811302102E-6,7.509132248518672E-6,3.096223083645258E-6,2.8361221941587754E-9,5.8207262258538307E-11,2.0307345600529405E-24,3.1878147513963505E-20,NaN,NaN,9.592257121946609E-12,2.065397834418675E-10,7.84531302179336E-12,1.6637242579033085E-7,7.090151947335252E-7,2.386859479733229E-16,2.354476940451564E-13,NaN,NaN,1.6247721079311823E-6,1.084297188092331E-6,1.0279432548871107E-8,7.359731619284716E-6,1.3026708409626059E-6,4.515497097362767E-16,2.11310235648389E-11,NaN,NaN,1.202740081836934E-6,4.2615901611204973E-7,1.670466635076299E-10,6.358354173448814E-13,2.948084713625571E-14,6.563611705412516E-23,1.8207775045190387E-20,NaN,NaN,6.612377390132133E-7,4.6800165803678474E-6,1.7212652585131964E-6,1.3241952105059626E-11,5.789649422706685E-9,9.038525460240938E-19,2.1199330088236463E-16,NaN,NaN,2.802588943232881E-9,2.0983502679883882E-7,5.244206434146447E-10,
IBk-1-LOOCV-gen,NaN,8.538051223166281E-6,NaN,0.0,NaN,NaN,NaN,0.00953461304130103,0.00953461304130103,9.593102991236757E-4,0.00698030292867693,0.0,0.0,NaN,NaN,0.00846815040315423,0.19342205960333203,0.02898267920362094,0.0012255637610538179,0.007034272439032621,2.6958428717098067E-17,0.0,NaN,NaN,0.003771557558705979,0.0010538712570165544,2.3016517113922945E-4,1.8988643546201945E-4,2.2492882744072162E-5,1.6860953849890916E-10,1.3569595408313583E-6,NaN,NaN,6.701223914264611E-4,0.011871767243102002,0.0028197437927179416,0.0016125446941837984,1.4389301535644724E-5,1.8537582124542017E-10,3.5410385009764316E-9,NaN,NaN,1.974330883718655E-4,2.0799391921612238E-5,1.5334735773717126E-5,1.3633596295701998E-6,2.329322472539756E-6,3.3794480562011293E-10,1.5157144738912398E-9,NaN,NaN,1.2575086805964293E-6,8.538051223166281E-6,3.4445182266588113E-6,1.5185481792766925E-5,4.3840125950437484E-7,6.298033186564015E-12,2.2055970255855762E-9,NaN,NaN,8.952223416190967E-6,5.185779612675112E-6,2.067438153293318E-6,1.1562700114691065E-7,2.4409431868648163E-9,3.0098016163098905E-10,5.249100912489642E-10,NaN,NaN,2.4568314811302102E-6,7.509132248518672E-6,3.096223083645258E-6,2.8361221941587754E-9,5.8207262258538307E-11,2.0307345600529405E-24,3.1878147513963505E-20,NaN,NaN,9.592257121946609E-12,2.065397834418675E-10,7.84531302179336E-12,1.6637242579033085E-7,7.090151947335252E-7,2.386859479733229E-16,2.354476940451564E-13,NaN,NaN,1.6247721079311823E-6,1.084297188092331E-6,1.0279432548871107E-8,7.359731619284716E-6,1.3026708409626059E-6,4.515497097362767E-16,2.11310235648389E-11,NaN,NaN,1.202740081836934E-6,4.2615901611204973E-7,1.670466635076299E-10,6.358354173448814E-13,2.948084713625571E-14,6.563611705412516E-23,1.8207775045190387E-20,NaN,NaN,6.612377390132133E-7,4.6800165803678474E-6,1.7212652585131964E-6,1.3241952105059626E-11,5.789649422706685E-9,9.038525460240938E-19,2.1199330088236463E-16,NaN,NaN,2.802588943232881E-9,2.0983502679883882E-7,5.244206434146447E-10,
IBk-1-Resample,NaN,8.538051223166281E-6,NaN,0.0,NaN,NaN,NaN,0.00953461304130103,0.00953461304130103,9.593102991236757E-4,0.00698030292867693,0.0,0.0,NaN,NaN,0.00846815040315423,0.19342205960333203,0.02898267920362094,0.0012255637610538179,0.007034272439032621,2.6958428717098067E-17,0.0,NaN,NaN,0.003771557558705979,0.0010538712570165544,2.3016517113922945E-4,1.8988643546201945E-4,2.2492882744072162E-5,1.6860953849890916E-10,1.3569595408313583E-6,NaN,NaN,6.701223914264611E-4,0.011871767243102002,0.0028197437927179416,0.0016125446941837984,1.4389301535644724E-5,1.8537582124542017E-10,3.5410385009764316E-9,NaN,NaN,1.974330883718655E-4,2.0799391921612238E-5,1.5334735773717126E-5,1.3633596295701998E-6,2.329322472539756E-6,3.3794480562011293E-10,1.5157144738912398E-9,NaN,NaN,1.2575086805964293E-6,8.538051223166281E-6,3.4445182266588113E-6,1.5185481792766925E-5,4.3840125950437484E-7,6.298033186564015E-12,2.2055970255855762E-9,NaN,NaN,8.952223416190967E-6,5.185779612675112E-6,2.067438153293318E-6,1.1562700114691065E-7,2.4409431868648163E-9,3.0098016163098905E-10,5.249100912489642E-10,NaN,NaN,2.4568314811302102E-6,7.509132248518672E-6,3.096223083645258E-6,2.8361221941587754E-9,5.8207262258538307E-11,2.0307345600529405E-24,3.1878147513963505E-20,NaN,NaN,9.592257121946609E-12,2.065397834418675E-10,7.84531302179336E-12,1.6637242579033085E-7,7.090151947335252E-7,2.386859479733229E-16,2.354476940451564E-13,NaN,NaN,1.6247721079311823E-6,1.084297188092331E-6,1.0279432548871107E-8,7.359731619284716E-6,1.3026708409626059E-6,4.515497097362767E-16,2.11310235648389E-11,NaN,NaN,1.202740081836934E-6,4.2615901611204973E-7,1.670466635076299E-10,6.358354173448814E-13,2.948084713625571E-14,6.563611705412516E-23,1.8207775045190387E-20,NaN,NaN,6.612377390132133E-7,4.6800165803678474E-6,1.7212652585131964E-6,1.3241952105059626E-11,5.789649422706685E-9,9.038525460240938E-19,2.1199330088236463E-16,NaN,NaN,2.802588943232881E-9,2.0983502679883882E-7,5.244206434146447E-10,
IBk-1-Resample-gen,0.00953461304130103,0.5232985755992499,0.00953461304130103,0.8769522283128112,0.00953461304130103,0.00953461304130103,0.00953461304130103,NaN,0.00953461304130104,0.17625349277995328,0.039952453916121594,0.8769522283128112,0.8769522283128112,0.00953461304130103,0.00953461304130103,0.25150065814270095,0.10388813106210142,0.09977629618771185,0.07101930129694857,0.053061726374030886,0.8929797993284665,0.8769522283128112,0.00953461304130103,0.00953461304130103,0.1227228200106871,0.3938228146915618,0.7959867365480867,9.452885045172591E-4,1.2962159286271326E-5,0.932892465722204,0.14657986885531485,0.00953461304130103,0.00953461304130103,0.056232490905069966,0.15266056244408877,0.09180487109020137,0.019926288002447775,1.3891114172805074E-5,0.0014358828318824842,9.867984031541118E-8,0.00953461304130103,0.00953461304130103,0.30595146938206763,3.0205974312426494E-5,3.129651559246953E-5,3.7499795741044543E-6,3.3128409492642434E-6,2.882065539740494E-7,1.2328398303486092E-8,0.00953461304130103,0.00953461304130103,4.21455464676797E-4,2.423829239593528E-5,1.748684899286404E-5,2.1046467632434215E-5,7.396113221287505E-7,2.2469373755588701E-10,5.537253900450198E-8,0.00953461304130103,0.00953461304130103,5.4769923759255094E-5,1.3218734417690966E-5,7.623331738357815E-6,1.1472557116170028E-7,3.904416223209563E-9,3.87019365251461E-9,2.1022906377309316E-9,0.00953461304130103,0.00953461304130103,1.8955313208345149E-6,7.157513968072994E-6,2.660200531451001E-6,3.6734798903337956E-9,8.514529053004036E-11,7.6207637092900265E-19,7.17872443988366E-18,0.00953461304130103,0.00953461304130103,2.2636148637628348E-11,2.692580537720176E-10,1.4239256799505814E-11,7.03539438878035E-7,3.236196483438589E-6,1.71671892016226E-9,1.4626934192959336E-9,0.00953461304130103,0.00953461304130103,2.205773770606382E-5,3.2823706784298902E-6,1.989300721731586E-7,2.052171573643509E-5,1.1576700083056099E-5,1.3370486924583607E-8,5.798229445360523E-9,0.00953461304130103,0.00953461304130103,3.083467598260022E-5,1.2003459485853796E-6,6.797009429276705E-8,6.194992018521904E-13,3.2070484765085405E-14,3.4625699449765983E-19,7.991493798470973E-20,0.00953461304130103,0.00953461304130103,6.612106559840175E-7,4.777199224874486E-6,1.7336497230725016E-6,2.2731284403011745E-11,3.774319866715276E-9,5.912120123294653E-14,1.0327826159045527E-12,0.00953461304130103,0.00953461304130103,2.8732662673254412E-8,8.75188763755219E-8,1.3867494683173543E-10,
IBk-1-ResampleBootstrap-gen,0.00953461304130103,0.012216045797947689,0.00953461304130103,0.05890214997945199,0.00953461304130103,0.00953461304130103,0.00953461304130103,0.00953461304130104,NaN,0.037832174997634485,0.02062973058493238,0.05890214997945199,0.05890214997945199,0.00953461304130103,0.00953461304130103,0.716508478460379,0.47837079145149763,0.4538700709879506,0.02000681358677326,0.025127137119614725,0.06637003317739433,0.05890214997945199,0.00953461304130103,0.00953461304130103,0.5757743898859833,0.0748946833388398,0.13620994974872833,4.6808287420954214E-4,1.5023497812402415E-5,0.05733540777923368,0.0022870932479052454,0.00953461304130103,0.00953461304130103,0.0054718985520491575,0.05872726955257195,0.022114930401152286,0.007717712459296345,1.389460070780736E-5,1.739321308115927E-5,2.66377274586482E-8,0.00953461304130103,0.00953461304130103,0.029101335178605074,2.523291489344982E-5,2.1686831575970863E-5,2.3198736790733915E-6,2.8721413493891413E-6,7.734312378453122E-9,4.582652886785644E-9,0.00953461304130103,0.00953461304130103,2.609310329105086E-5,1.5936235056727522E-5,8.888704681616174E-6,1.795750792662964E-5,6.005046361439191E-7,1.34948914402299E-13,1.5714057123723935E-8,0.00953461304130103,0.00953461304130103,2.447142565948908E-5,9.233496185397043E-6,4.5763259166857885E-6,1.1370882714280864E-7,3.2467685397250303E-9,1.5754863402586945E-9,1.2484990772836888E-9,0.00953461304130103,0.00953461304130103,2.0440349159185928E-6,7.239010181885616E-6,2.7867855156732224E-6,3.3139894797107385E-9,7.28960229988722E-11,1.6267703277059197E-20,7.599975339829527E-19,0.00953461304130103,0.00953461304130103,1.6339992523418944E-11,2.413247236625327E-10,1.1221114612852477E-11,3.7475635336363866E-7,1.7458215196629444E-6,2.8813457688183593E-11,4.4764830202795126E-11,0.00953461304130103,0.00953461304130103,8.183500424526827E-6,1.948360801644307E-6,5.594417326537283E-8,1.2483791559619394E-5,4.940221767526791E-6,1.0990298169464421E-10,1.7915840546578632E-10,0.00953461304130103,0.00953461304130103,8.85961275312187E-6,4.933657464978391E-7,3.5728061870313633E-9,6.212693340842652E-13,3.073248133435472E-14,9.822023179364118E-21,7.009119670768047E-21,0.00953461304130103,0.00953461304130103,6.600965498115465E-7,4.7358678004207525E-6,1.7267386115976621E-6,1.7676259242889718E-11,4.385579766433695E-9,7.968719791874203E-16,5.955082516230224E-14,0.00953461304130103,0.00953461304130103,1.2294598896943384E-8,1.2003993517430332E-7,1.9866938898905519E-10,
IBk-3-Holdout,9.593102991236757E-4,0.14571940295014021,9.593102991236757E-4,0.060945618585217264,9.593102991236757E-4,9.593102991236757E-4,9.593102991236757E-4,0.17625349277995328,0.037832174997634485,NaN,0.10245989951930703,0.060945618585217264,0.060945618585217264,9.593102991236757E-4,9.593102991236757E-4,0.003719807688157656,0.021595216007969754,0.009207613884717485,0.24433314386747917,0.19728088545243794,0.0592396702438516,0.060945618585217264,9.593102991236757E-4,9.593102991236757E-4,0.004896699813155775,0.37617135859577555,0.09235571112939009,0.006744776739224544,8.971203117222294E-4,0.04976866278280564,0.2982667883332606,9.593102991236757E-4,9.593102991236757E-4,0.8206616308761882,0.7790420468389909,0.8779086734427967,0.08415030805368914,4.493143017478289E-5,0.12673988787279575,4.295673719646244E-8,9.593102991236757E-4,9.593102991236757E-4,0.3355656446421267,7.88992784935045E-5,1.4903837199579424E-4,1.4827286951303306E-5,4.469730497881106E-6,2.008556467583872E-4,9.523352481861965E-8,9.593102991236757E-4,9.593102991236757E-4,0.06881890626512947,1.939815475933317E-5,1.6816686611545817E-5,1.2132395164348379E-4,1.123006994242907E-6,4.050471584977389E-6,1.8105806495203864E-8,9.593102991236757E-4,9.593102991236757E-4,1.6866787052666616E-4,1.0274236285241014E-5,5.450148704853823E-6,1.422665303059676E-7,2.2200488696941757E-9,4.192757009069575E-10,5.382771715417829E-10,9.593102991236757E-4,9.593102991236757E-4,9.651658612400944E-6,1.2861775035751303E-5,6.39368612776312E-6,4.897832178361076E-9,3.081709363387539E-11,6.209813386263184E-18,4.909945745753127E-17,9.593102991236757E-4,9.593102991236757E-4,2.008525982557299E-11,1.9292227104100398E-10,8.352341525176276E-12,3.234694493753109E-7,9.547792200123497E-6,5.0749118509225135E-8,4.515007832029524E-8,9.593102991236757E-4,9.593102991236757E-4,5.710538005882154E-6,4.08758746428481E-6,1.1468351882100212E-8,8.074766827421229E-5,2.3288586304810426E-6,1.1767199475603669E-6,3.0792823917774277E-6,9.593102991236757E-4,9.593102991236757E-4,3.8965019007357344E-5,6.120569747777048E-5,1.0706752009859764E-6,1.0384418973844917E-12,2.8422945951156446E-14,7.193587253332423E-18,3.51955626349251E-17,9.593102991236757E-4,9.593102991236757E-4,8.345384820198201E-7,5.656807903844278E-6,2.1070629620483857E-6,1.2989515418584961E-11,7.987593500424767E-9,3.177362682976387E-12,2.562746338586638E-12,9.593102991236757E-4,9.593102991236757E-4,1.0956545407671227E-8,1.3369452002966135E-6,1.3516232394081345E-8,
