#,IBk-1-Holdout,IBk-1-Holdout-gen,IBk-1-CV,IBk-1-CV-gen,IBk-1-LOOCV,IBk-1-LOOCV-gen,IBk-1-Resample,IBk-1-Resample-gen,IBk-1-ResampleBootstrap-gen,IBk-3-Holdout,IBk-3-Holdout-gen,IBk-3-CV,IBk-3-CV-gen,IBk-3-LOOCV,IBk-3-LOOCV-gen,IBk-3-Resample,IBk-3-Resample-gen,IBk-3-ResampleBootstrap-gen,IBk-5-Holdout,IBk-5-Holdout-gen,IBk-5-CV,IBk-5-CV-gen,IBk-5-LOOCV,IBk-5-LOOCV-gen,IBk-5-Resample,IBk-5-Resample-gen,IBk-5-ResampleBootstrap-gen,IBk-10-Holdout,IBk-10-Holdout-gen,IBk-10-CV,IBk-10-CV-gen,IBk-10-LOOCV,IBk-10-LOOCV-gen,IBk-10-Resample,IBk-10-Resample-gen,IBk-10-ResampleBootstrap-gen,J48-2-Holdout,J48-2-Holdout-gen,J48-2-CV,J48-2-CV-gen,J48-2-LOOCV,J48-2-LOOCV-gen,J48-2-Resample,J48-2-Resample-gen,J48-2-ResampleBootstrap-gen,J48-5-Holdout,J48-5-Holdout-gen,J48-5-CV,J48-5-CV-gen,J48-5-LOOCV,J48-5-LOOCV-gen,J48-5-Resample,J48-5-Resample-gen,J48-5-ResampleBootstrap-gen,J48-10-Holdout,J48-10-Holdout-gen,J48-10-CV,J48-10-CV-gen,J48-10-LOOCV,J48-10-LOOCV-gen,J48-10-Resample,J48-10-Resample-gen,J48-10-ResampleBootstrap-gen,J48-30-Holdout,J48-30-Holdout-gen,J48-30-CV,J48-30-CV-gen,J48-30-LOOCV,J48-30-LOOCV-gen,J48-30-Resample,J48-30-Resample-gen,J48-30-ResampleBootstrap-gen,NBC--Holdout,NBC--Holdout-gen,NBC--CV,NBC--CV-gen,NBC--LOOCV,NBC--LOOCV-gen,NBC--Resample,NBC--Resample-gen,NBC--ResampleBootstrap-gen,SMO-1-P-Holdout,SMO-1-P-Holdout-gen,SMO-1-P-CV,SMO-1-P-CV-gen,SMO-1-P-LOOCV,SMO-1-P-LOOCV-gen,SMO-1-P-Resample,SMO-1-P-Resample-gen,SMO-1-P-ResampleBootstrap-gen,SMO-5-P-Holdout,SMO-5-P-Holdout-gen,SMO-5-P-CV,SMO-5-P-CV-gen,SMO-5-P-LOOCV,SMO-5-P-LOOCV-gen,SMO-5-P-Resample,SMO-5-P-Resample-gen,SMO-5-P-ResampleBootstrap-gen,SMO-1-RBF-Holdout,SMO-1-RBF-Holdout-gen,SMO-1-RBF-CV,SMO-1-RBF-CV-gen,SMO-1-RBF-LOOCV,SMO-1-RBF-LOOCV-gen,SMO-1-RBF-Resample,SMO-1-RBF-Resample-gen,SMO-1-RBF-ResampleBootstrap-gen,SMO-5-RBF-Holdout,SMO-5-RBF-Holdout-gen,SMO-5-RBF-CV,SMO-5-RBF-CV-gen,SMO-5-RBF-LOOCV,SMO-5-RBF-LOOCV-gen,SMO-5-RBF-Resample,SMO-5-RBF-Resample-gen,SMO-5-RBF-ResampleBootstrap-gen,
IBk-1-Holdout,NaN,5.557317060266594E-15,NaN,2.5114101610470327E-17,NaN,NaN,NaN,3.5979205888269676E-15,3.5979205888269676E-15,2.1361671230292754E-12,8.454176101847759E-15,1.621612693691033E-22,3.679610444149284E-17,NaN,NaN,9.149455026718932E-13,1.42867898303009E-13,2.4424125380998954E-14,1.0884071840844208E-12,8.795739159645921E-16,1.4734370793393275E-22,3.6935138888908793E-17,NaN,NaN,2.0584709042426972E-13,1.494451874766543E-15,8.751273670154548E-17,2.9388771227419546E-13,2.7579617320908522E-15,1.8489593281005053E-22,1.216456052711138E-17,NaN,NaN,6.759797836629057E-12,6.757808315409698E-15,1.1421113986613255E-17,6.485580298600282E-7,3.725666713543977E-15,1.241103711735457E-13,4.3929310857572686E-15,NaN,NaN,1.633258220076019E-8,4.637163124927651E-14,5.464130758850724E-14,5.950607828639965E-13,2.9524588189514567E-13,5.792777597155914E-20,1.4899770008930444E-19,NaN,NaN,5.7972402450212784E-12,7.199272898071019E-13,3.8516132766211586E-13,1.1882774349417793E-11,2.0833212887289167E-14,1.6421054237579011E-18,6.176603978435954E-16,NaN,NaN,2.8806789215326975E-13,3.887467541147358E-15,4.513451347157888E-16,4.801082377988935E-13,6.877486469634136E-15,3.513355178134327E-21,2.912125211003815E-19,NaN,NaN,1.0619379200251566E-15,3.357509147765473E-13,1.1868142496165075E-14,8.3872970457593E-12,5.616818271561069E-14,1.4149326642826239E-25,7.794450852593233E-19,NaN,NaN,4.4538735477636963E-14,5.882584045017176E-16,1.279864898344558E-15,4.020938206776218E-12,2.2264280691386346E-15,8.232279250955958E-28,4.0138269172920576E-21,NaN,NaN,1.0716926886106683E-14,1.620662461648445E-14,2.3657363697386957E-16,6.344686746449569E-15,1.7354042925414836E-15,7.649859091080052E-26,2.0496198164435013E-20,NaN,NaN,2.9068271649295766E-13,7.688463902360885E-13,4.650221698492206E-16,4.986314839567417E-16,2.4110269651734246E-11,2.2422793134587143E-145,0.0,NaN,NaN,1.6771204981125308E-15,2.788842972830196E-14,3.30394486984759E-17,4.138945568660071E-14,8.522276516510953E-15,1.0186793503181513E-26,4.988525649673136E-20,NaN,NaN,2.1077160927284187E-16,1.449333845394137E-12,1.3756079032349869E-14,
IBk-1-Holdout-gen,5.557317060266594E-15,NaN,5.557317060266594E-15,7.727376413942021E-5,5.557317060266594E-15,5.557317060266594E-15,5.557317060266594E-15,0.008154626479916938,3.2873409479503644E-10,8.549334123045345E-12,0.5920274395044436,6.576024898907306E-12,1.4715011646807317E-4,5.557317060266594E-15,5.557317060266594E-15,2.465992027234299E-12,0.3411843594858365,2.718339562917805E-8,1.410841565999712E-9,2.507294146198111E-4,3.102724136226219E-11,1.0827637758865926E-6,5.557317060266594E-15,5.557317060266594E-15,1.6666236986784218E-12,2.560000175983661E-4,4.147424959766301E-10,2.7574210510468414E-9,3.319584596429814E-5,3.0852753765413416E-10,1.4367523932883789E-6,5.557317060266594E-15,5.557317060266594E-15,8.004070227684408E-9,2.191105820703878E-5,1.3223756340262454E-8,4.811158792781853E-9,0.6921733725993477,2.5535409986002377E-14,0.002139693218690786,5.557317060266594E-15,5.557317060266594E-15,8.793450416600383E-15,0.4394308976798005,9.73771964121128E-10,6.0911767732219E-13,0.16635276406111565,2.4949569999948984E-12,1.1009222269116769E-4,5.557317060266594E-15,5.557317060266594E-15,8.116338753199281E-13,0.57711969898955,9.561482158019875E-8,2.7411560242054335E-9,0.0014703209140436084,6.155302363724541E-11,7.195099225396455E-5,5.557317060266594E-15,5.557317060266594E-15,5.38628498764537E-14,0.9487582431423532,4.057746995332765E-9,3.895278494184541E-6,2.934204045663673E-5,1.542009799641151E-9,2.2292398286229303E-6,5.557317060266594E-15,5.557317060266594E-15,3.221291324611955E-9,0.0013901833127363844,7.005585869900788E-7,0.4724400970991409,0.0013098800346398511,0.003408281312191284,4.847284695061472E-5,5.557317060266594E-15,5.557317060266594E-15,0.403404557817574,1.0534601632596828E-5,2.0275131963570713E-4,5.039137372840017E-5,3.506262946417404E-7,6.368516505272025E-8,3.9149579338281015E-7,5.557317060266594E-15,5.557317060266594E-15,1.0840140643468246E-7,6.128264899480915E-6,7.081605308155347E-7,4.61243509153407E-9,2.2681753419841863E-5,5.299908484665589E-8,2.4243419783117735E-7,5.557317060266594E-15,5.557317060266594E-15,2.1138824359005113E-6,5.264288674030635E-6,1.171446921843876E-7,0.03906588445285759,0.3237773125712581,0.2727008107938258,0.2727008107938217,5.557317060266594E-15,5.557317060266594E-15,0.2767538134551639,0.18700893735376978,0.026328685326471757,0.23624376110813228,0.5972756418853257,2.1178741086277864E-5,5.8628404785845144E-5,5.557317060266594E-15,5.557317060266594E-15,8.798722698574483E-6,0.0027261513664457375,9.445937635460613E-5,
IBk-1-CV,NaN,5.557317060266594E-15,NaN,2.5114101610470327E-17,NaN,NaN,NaN,3.5979205888269676E-15,3.5979205888269676E-15,2.1361671230292754E-12,8.454176101847759E-15,1.621612693691033E-22,3.679610444149284E-17,NaN,NaN,9.149455026718932E-13,1.42867898303009E-13,2.4424125380998954E-14,1.0884071840844208E-12,8.795739159645921E-16,1.4734370793393275E-22,3.6935138888908793E-17,NaN,NaN,2.0584709042426972E-13,1.494451874766543E-15,8.751273670154548E-17,2.9388771227419546E-13,2.7579617320908522E-15,1.8489593281005053E-22,1.216456052711138E-17,NaN,NaN,6.759797836629057E-12,6.757808315409698E-15,1.1421113986613255E-17,6.485580298600282E-7,3.725666713543977E-15,1.241103711735457E-13,4.3929310857572686E-15,NaN,NaN,1.633258220076019E-8,4.637163124927651E-14,5.464130758850724E-14,5.950607828639965E-13,2.9524588189514567E-13,5.792777597155914E-20,1.4899770008930444E-19,NaN,NaN,5.7972402450212784E-12,7.199272898071019E-13,3.8516132766211586E-13,1.1882774349417793E-11,2.0833212887289167E-14,1.6421054237579011E-18,6.176603978435954E-16,NaN,NaN,2.8806789215326975E-13,3.887467541147358E-15,4.513451347157888E-16,4.801082377988935E-13,6.877486469634136E-15,3.513355178134327E-21,2.912125211003815E-19,NaN,NaN,1.0619379200251566E-15,3.357509147765473E-13,1.1868142496165075E-14,8.3872970457593E-12,5.616818271561069E-14,1.4149326642826239E-25,7.794450852593233E-19,NaN,NaN,4.4538735477636963E-14,5.882584045017176E-16,1.279864898344558E-15,4.020938206776218E-12,2.2264280691386346E-15,8.232279250955958E-28,4.0138269172920576E-21,NaN,NaN,1.0716926886106683E-14,1.620662461648445E-14,2.3657363697386957E-16,6.344686746449569E-15,1.7354042925414836E-15,7.649859091080052E-26,2.0496198164435013E-20,NaN,NaN,2.9068271649295766E-13,7.688463902360885E-13,4.650221698492206E-16,4.986314839567417E-16,2.4110269651734246E-11,2.2422793134587143E-145,0.0,NaN,NaN,1.6771204981125308E-15,2.788842972830196E-14,3.30394486984759E-17,4.138945568660071E-14,8.522276516510953E-15,1.0186793503181513E-26,4.988525649673136E-20,NaN,NaN,2.1077160927284187E-16,1.449333845394137E-12,1.3756079032349869E-14,
IBk-1-CV-gen,2.5114101610470327E-17,7.727376413942021E-5,2.5114101610470327E-17,NaN,2.5114101610470327E-17,2.5114101610470327E-17,2.5114101610470327E-17,0.013972409471996947,2.5142084705499044E-12,2.9003391352444374E-10,3.086770666747778E-4,4.0070416438667324E-14,0.022854975093116126,2.5114101610470327E-17,2.5114101610470327E-17,1.3663640124709384E-12,3.2819900781840737E-4,1.4782096350341614E-8,5.201622177483583E-9,0.05487206645533308,5.621792215040902E-13,0.00199567986386592,2.5114101610470327E-17,2.5114101610470327E-17,3.6235750917425977E-11,0.009694385417461145,8.398417166114127E-9,1.0771032622325804E-7,0.30189172607024606,5.988792908103256E-12,2.278977255166472E-5,2.5114101610470327E-17,2.5114101610470327E-17,8.980975412884613E-8,0.06061764069682501,1.891352622682113E-8,4.428566136784351E-9,3.7505832350900366E-6,7.411206477466603E-16,0.38066741802111026,2.5114101610470327E-17,2.5114101610470327E-17,1.6450462141745204E-14,0.0013032711079199472,4.6458013446210565E-9,1.02789270957531E-11,0.003313214507825146,6.555436910527793E-14,0.005427087617136449,2.5114101610470327E-17,2.5114101610470327E-17,1.211870868791402E-14,1.4940359211288297E-4,3.3170770328928357E-8,7.748698501847766E-9,0.24119585707229552,4.739790476813155E-13,0.9263584537539358,2.5114101610470327E-17,2.5114101610470327E-17,4.154212131580619E-12,6.918503125386001E-5,5.685177029004226E-7,1.7914569634385375E-5,0.36147204463877913,1.5548124117528364E-9,0.048977158809147915,2.5114101610470327E-17,2.5114101610470327E-17,1.8370518677414172E-10,0.42059524240011437,8.529824186465314E-5,0.02523835509793151,3.0458976244002074E-7,3.538461299363073E-9,5.110363347525626E-10,2.5114101610470327E-17,2.5114101610470327E-17,1.738478493381735E-5,8.592263772066192E-9,2.347094554598847E-8,0.0016858609977345952,0.007212707113709698,1.2344855644955706E-7,2.4492906191920892E-6,2.5114101610470327E-17,2.5114101610470327E-17,9.675435202670882E-5,8.997122676071701E-4,1.9695251052926637E-4,1.8283311552250848E-6,0.0013852425349564807,9.509806898125617E-8,3.631637732247309E-7,2.5114101610470327E-17,2.5114101610470327E-17,6.409954506227744E-4,1.7459514539466779E-4,5.950499477361733E-7,2.087198734652185E-6,0.0020324368012392003,1.631614050050095E-8,1.6316140500500658E-8,2.5114101610470327E-17,2.5114101610470327E-17,6.572551606092785E-6,1.229258347832168E-5,4.061221664739122E-8,9.257384492381351E-4,7.99972922978019E-5,0.7092741826167304,0.024553507612108325,2.5114101610470327E-17,2.5114101610470327E-17,0.020974254632333385,0.4087175083950254,0.37165359970595924,
IBk-1-LOOCV,NaN,5.557317060266594E-15,NaN,2.5114101610470327E-17,NaN,NaN,NaN,3.5979205888269676E-15,3.5979205888269676E-15,2.1361671230292754E-12,8.454176101847759E-15,1.621612693691033E-22,3.679610444149284E-17,NaN,NaN,9.149455026718932E-13,1.42867898303009E-13,2.4424125380998954E-14,1.0884071840844208E-12,8.795739159645921E-16,1.4734370793393275E-22,3.6935138888908793E-17,NaN,NaN,2.0584709042426972E-13,1.494451874766543E-15,8.751273670154548E-17,2.9388771227419546E-13,2.7579617320908522E-15,1.8489593281005053E-22,1.216456052711138E-17,NaN,NaN,6.759797836629057E-12,6.757808315409698E-15,1.1421113986613255E-17,6.485580298600282E-7,3.725666713543977E-15,1.241103711735457E-13,4.3929310857572686E-15,NaN,NaN,1.633258220076019E-8,4.637163124927651E-14,5.464130758850724E-14,5.950607828639965E-13,2.9524588189514567E-13,5.792777597155914E-20,1.4899770008930444E-19,NaN,NaN,5.7972402450212784E-12,7.199272898071019E-13,3.8516132766211586E-13,1.1882774349417793E-11,2.0833212887289167E-14,1.6421054237579011E-18,6.176603978435954E-16,NaN,NaN,2.8806789215326975E-13,3.887467541147358E-15,4.513451347157888E-16,4.801082377988935E-13,6.877486469634136E-15,3.513355178134327E-21,2.912125211003815E-19,NaN,NaN,1.0619379200251566E-15,3.357509147765473E-13,1.1868142496165075E-14,8.3872970457593E-12,5.616818271561069E-14,1.4149326642826239E-25,7.794450852593233E-19,NaN,NaN,4.4538735477636963E-14,5.882584045017176E-16,1.279864898344558E-15,4.020938206776218E-12,2.2264280691386346E-15,8.232279250955958E-28,4.0138269172920576E-21,NaN,NaN,1.0716926886106683E-14,1.620662461648445E-14,2.3657363697386957E-16,6.344686746449569E-15,1.7354042925414836E-15,7.649859091080052E-26,2.0496198164435013E-20,NaN,NaN,2.9068271649295766E-13,7.688463902360885E-13,4.650221698492206E-16,4.986314839567417E-16,2.4110269651734246E-11,2.2422793134587143E-145,0.0,NaN,NaN,1.6771204981125308E-15,2.788842972830196E-14,3.30394486984759E-17,4.138945568660071E-14,8.522276516510953E-15,1.0186793503181513E-26,4.988525649673136E-20,NaN,NaN,2.1077160927284187E-16,1.449333845394137E-12,1.3756079032349869E-14,
IBk-1-LOOCV-gen,NaN,5.557317060266594E-15,NaN,2.5114101610470327E-17,NaN,NaN,NaN,3.5979205888269676E-15,3.5979205888269676E-15,2.1361671230292754E-12,8.454176101847759E-15,1.621612693691033E-22,3.679610444149284E-17,NaN,NaN,9.149455026718932E-13,1.42867898303009E-13,2.4424125380998954E-14,1.0884071840844208E-12,8.795739159645921E-16,1.4734370793393275E-22,3.6935138888908793E-17,NaN,NaN,2.0584709042426972E-13,1.494451874766543E-15,8.751273670154548E-17,2.9388771227419546E-13,2.7579617320908522E-15,1.8489593281005053E-22,1.216456052711138E-17,NaN,NaN,6.759797836629057E-12,6.757808315409698E-15,1.1421113986613255E-17,6.485580298600282E-7,3.725666713543977E-15,1.241103711735457E-13,4.3929310857572686E-15,NaN,NaN,1.633258220076019E-8,4.637163124927651E-14,5.464130758850724E-14,5.950607828639965E-13,2.9524588189514567E-13,5.792777597155914E-20,1.4899770008930444E-19,NaN,NaN,5.7972402450212784E-12,7.199272898071019E-13,3.8516132766211586E-13,1.1882774349417793E-11,2.0833212887289167E-14,1.6421054237579011E-18,6.176603978435954E-16,NaN,NaN,2.8806789215326975E-13,3.887467541147358E-15,4.513451347157888E-16,4.801082377988935E-13,6.877486469634136E-15,3.513355178134327E-21,2.912125211003815E-19,NaN,NaN,1.0619379200251566E-15,3.357509147765473E-13,1.1868142496165075E-14,8.3872970457593E-12,5.616818271561069E-14,1.4149326642826239E-25,7.794450852593233E-19,NaN,NaN,4.4538735477636963E-14,5.882584045017176E-16,1.279864898344558E-15,4.020938206776218E-12,2.2264280691386346E-15,8.232279250955958E-28,4.0138269172920576E-21,NaN,NaN,1.0716926886106683E-14,1.620662461648445E-14,2.3657363697386957E-16,6.344686746449569E-15,1.7354042925414836E-15,7.649859091080052E-26,2.0496198164435013E-20,NaN,NaN,2.9068271649295766E-13,7.688463902360885E-13,4.650221698492206E-16,4.986314839567417E-16,2.4110269651734246E-11,2.2422793134587143E-145,0.0,NaN,NaN,1.6771204981125308E-15,2.788842972830196E-14,3.30394486984759E-17,4.138945568660071E-14,8.522276516510953E-15,1.0186793503181513E-26,4.988525649673136E-20,NaN,NaN,2.1077160927284187E-16,1.449333845394137E-12,1.3756079032349869E-14,
IBk-1-Resample,NaN,5.557317060266594E-15,NaN,2.5114101610470327E-17,NaN,NaN,NaN,3.5979205888269676E-15,3.5979205888269676E-15,2.1361671230292754E-12,8.454176101847759E-15,1.621612693691033E-22,3.679610444149284E-17,NaN,NaN,9.149455026718932E-13,1.42867898303009E-13,2.4424125380998954E-14,1.0884071840844208E-12,8.795739159645921E-16,1.4734370793393275E-22,3.6935138888908793E-17,NaN,NaN,2.0584709042426972E-13,1.494451874766543E-15,8.751273670154548E-17,2.9388771227419546E-13,2.7579617320908522E-15,1.8489593281005053E-22,1.216456052711138E-17,NaN,NaN,6.759797836629057E-12,6.757808315409698E-15,1.1421113986613255E-17,6.485580298600282E-7,3.725666713543977E-15,1.241103711735457E-13,4.3929310857572686E-15,NaN,NaN,1.633258220076019E-8,4.637163124927651E-14,5.464130758850724E-14,5.950607828639965E-13,2.9524588189514567E-13,5.792777597155914E-20,1.4899770008930444E-19,NaN,NaN,5.7972402450212784E-12,7.199272898071019E-13,3.8516132766211586E-13,1.1882774349417793E-11,2.0833212887289167E-14,1.6421054237579011E-18,6.176603978435954E-16,NaN,NaN,2.8806789215326975E-13,3.887467541147358E-15,4.513451347157888E-16,4.801082377988935E-13,6.877486469634136E-15,3.513355178134327E-21,2.912125211003815E-19,NaN,NaN,1.0619379200251566E-15,3.357509147765473E-13,1.1868142496165075E-14,8.3872970457593E-12,5.616818271561069E-14,1.4149326642826239E-25,7.794450852593233E-19,NaN,NaN,4.4538735477636963E-14,5.882584045017176E-16,1.279864898344558E-15,4.020938206776218E-12,2.2264280691386346E-15,8.232279250955958E-28,4.0138269172920576E-21,NaN,NaN,1.0716926886106683E-14,1.620662461648445E-14,2.3657363697386957E-16,6.344686746449569E-15,1.7354042925414836E-15,7.649859091080052E-26,2.0496198164435013E-20,NaN,NaN,2.9068271649295766E-13,7.688463902360885E-13,4.650221698492206E-16,4.986314839567417E-16,2.4110269651734246E-11,2.2422793134587143E-145,0.0,NaN,NaN,1.6771204981125308E-15,2.788842972830196E-14,3.30394486984759E-17,4.138945568660071E-14,8.522276516510953E-15,1.0186793503181513E-26,4.988525649673136E-20,NaN,NaN,2.1077160927284187E-16,1.449333845394137E-12,1.3756079032349869E-14,
IBk-1-Resample-gen,3.5979205888269676E-15,0.008154626479916938,3.5979205888269676E-15,0.013972409471996947,3.5979205888269676E-15,3.5979205888269676E-15,3.5979205888269676E-15,NaN,3.5979205888269936E-15,9.877508855744973E-10,0.011130893248892715,3.8578610548513154E-12,0.3710317528328775,3.5979205888269676E-15,3.5979205888269676E-15,2.736686041087195E-11,0.034496409801034425,2.934057140348829E-7,4.547116707948214E-9,0.6735405606367438,2.918913721551992E-11,5.082512123955123E-4,3.5979205888269676E-15,3.5979205888269676E-15,1.9726762438174355E-10,0.8317768129860071,1.4249678998902046E-7,6.499645461099933E-7,0.27745176192650023,3.30994903935261E-10,1.4173072758857695E-5,3.5979205888269676E-15,3.5979205888269676E-15,4.203263626007869E-8,0.009348060947233113,4.3194697440170816E-7,1.5000641454727977E-9,8.535979734660587E-4,1.862891566857493E-13,0.1285539239387354,3.5979205888269676E-15,3.5979205888269676E-15,1.3512986029053088E-13,0.022439019986443508,4.250716440321528E-9,2.6713051309971E-11,0.0379827558900159,1.7817671691014764E-12,0.9262134462756779,3.5979205888269676E-15,3.5979205888269676E-15,2.9557563498265695E-13,0.003475007192901292,8.356494194994698E-8,3.386006858420287E-8,0.5389487520054939,3.38888860583705E-11,0.04130812733948759,3.5979205888269676E-15,3.5979205888269676E-15,7.160528042354527E-11,0.0015110165283919285,5.866014953648203E-7,2.223980632299075E-7,0.34840087713713364,4.643638181365401E-8,0.004496298750329892,3.5979205888269676E-15,3.5979205888269676E-15,3.24871145508659E-10,0.48671090714485266,8.482815778172472E-5,0.21354910696678897,7.827343658296967E-6,2.5621209920453962E-6,5.461027316010625E-7,3.5979205888269676E-15,3.5979205888269676E-15,7.913166673549128E-4,6.888920690274411E-8,4.463223544750216E-7,5.521515284445734E-4,0.001612870841722818,1.3102487884521328E-6,5.700147855067072E-6,3.5979205888269676E-15,3.5979205888269676E-15,4.018290239122876E-5,4.612656082851868E-4,1.5759404787163902E-4,6.795226281262842E-7,2.4173834814496226E-4,7.761541917619713E-7,1.481284072044231E-5,3.5979205888269676E-15,3.5979205888269676E-15,5.713387587453283E-4,3.381379083185644E-5,1.0138870264028012E-5,1.0616309817641774E-4,0.008051568553708064,3.802046589674414E-5,3.8020465896743384E-5,3.5979205888269676E-15,3.5979205888269676E-15,1.4387649616352433E-4,6.865768992380401E-4,1.6557804678664258E-5,0.04962720681086563,9.854368942928318E-4,0.020937626167267333,0.1440438914746785,3.5979205888269676E-15,3.5979205888269676E-15,1.8065412875766732E-4,0.689771806034865,0.41097431210367497,
IBk-1-ResampleBootstrap-gen,3.5979205888269676E-15,3.2873409479503644E-10,3.5979205888269676E-15,2.5142084705499044E-12,3.5979205888269676E-15,3.5979205888269676E-15,3.5979205888269676E-15,3.5979205888269936E-15,NaN,3.741708603936403E-4,1.7025839931476732E-10,1.8644994070760082E-7,8.7419891750275E-12,3.5979205888269676E-15,3.5979205888269676E-15,2.0545810896240734E-8,7.328613533263778E-10,7.839915044656042E-8,0.04419327957264003,1.3970962360810234E-10,0.10560500599636483,8.204963786175541E-11,3.5979205888269676E-15,3.5979205888269676E-15,5.7093722592213824E-5,3.383695476617935E-11,1.2213162473751044E-9,2.3148633515350106E-5,3.7473548953834684E-10,8.999068080524972E-9,1.7963696051309864E-11,3.5979205888269676E-15,3.5979205888269676E-15,0.025892975952946977,2.96376168942417E-10,2.731561588029262E-10,2.8847801644935783E-6,3.583760390210815E-11,7.081896484710645E-12,4.048845413676943E-11,3.5979205888269676E-15,3.5979205888269676E-15,1.2285537590415875E-12,4.237975186216328E-10,2.2686511400309305E-4,4.834172570377614E-7,2.8615353958556777E-10,7.660447431427646E-9,4.309240146016862E-12,3.5979205888269676E-15,3.5979205888269676E-15,1.6432971694416988E-11,1.4685145116410878E-9,6.536372360283068E-7,0.11693595478734714,2.3388902112436E-9,0.002693786672516328,8.155350589706002E-11,3.5979205888269676E-15,3.5979205888269676E-15,4.327341395718969E-7,2.8681319042558756E-11,2.3234960779302957E-9,1.1266860850037046E-8,1.2121547173468795E-9,8.391631010904789E-10,1.7096376007066817E-11,3.5979205888269676E-15,3.5979205888269676E-15,2.0963377016749716E-7,1.3387535348708199E-8,5.863308185079483E-9,5.945587425604152E-8,1.3161143358192328E-10,6.117775964563065E-14,6.296081998008885E-13,3.5979205888269676E-15,3.5979205888269676E-15,1.741585021264744E-10,1.0017690008670106E-12,2.7380564910310484E-12,3.724214331117777E-7,2.5225116364045644E-9,1.2597504458237574E-11,2.7922081173443307E-12,3.5979205888269676E-15,3.5979205888269676E-15,4.1902354766107845E-9,1.2693987503990904E-8,1.1523374162383025E-9,4.5147152564388885E-9,2.6459004222315624E-10,9.121407866427346E-12,3.006376059797685E-11,3.5979205888269676E-15,3.5979205888269676E-15,2.9690162880475303E-7,1.8603543475656234E-8,2.777156477426029E-10,1.3733792755486785E-11,4.1738875375779726E-8,9.344509349008792E-14,9.344509349008591E-14,3.5979205888269676E-15,3.5979205888269676E-15,8.908104840891502E-12,1.8476234114633695E-10,1.0411862354670584E-12,3.473279368574968E-10,8.590028338379516E-12,8.959551137729543E-13,4.2694781192720576E-13,3.5979205888269676E-15,3.5979205888269676E-15,2.282873766996807E-12,9.506108479670883E-8,3.24441661685569E-9,
IBk-3-Holdout,2.1361671230292754E-12,8.549334123045345E-12,2.1361671230292754E-12,2.9003391352444374E-10,2.1361671230292754E-12,2.1361671230292754E-12,2.1361671230292754E-12,9.877508855744973E-10,3.741708603936403E-4,NaN,4.505413610528323E-10,0.769727198800737,2.0715696712254673E-10,2.1361671230292754E-12,2.1361671230292754E-12,1.5054153396123177E-6,2.211186807940988E-9,6.02124503416574E-8,2.6709033687000785E-5,1.4391219389323788E-10,1.839530424295972E-5,8.333242336634373E-11,2.1361671230292754E-12,2.1361671230292754E-12,0.7450423896219649,1.478716639173412E-10,6.396181235518592E-10,6.357825158236022E-8,3.972962172254765E-11,4.6318880886998755E-8,2.464117920443175E-10,2.1361671230292754E-12,2.1361671230292754E-12,1.2209911727973366E-5,3.0963145672441708E-9,1.3293971248222853E-9,3.7856468798656205E-4,9.475118136342187E-11,4.763268927874382E-9,8.890295519557015E-10,2.1361671230292754E-12,2.1361671230292754E-12,6.902091195545142E-12,1.8096367067687554E-11,8.392901497247442E-8,4.954980628384117E-5,1.3094508615080523E-8,0.003436329627311218,2.191077030159823E-11,2.1361671230292754E-12,2.1361671230292754E-12,4.6440021296795315E-9,8.812267398178582E-9,1.0440456396752245E-6,1.0065421005263867E-4,9.214116413320074E-11,6.401374796035115E-6,1.942147916568868E-12,2.1361671230292754E-12,2.1361671230292754E-12,3.5203713828234805E-5,6.459468476299835E-11,6.409489961477976E-10,5.792780712173358E-8,8.974769344370842E-11,7.020237000451859E-10,8.205862162235684E-12,2.1361671230292754E-12,2.1361671230292754E-12,6.922010371299442E-7,7.024802524532868E-9,7.415029801781767E-9,1.660062465489146E-8,2.7067771231957333E-10,1.6969717621770175E-12,3.187586262171627E-12,2.1361671230292754E-12,2.1361671230292754E-12,1.8119692562286885E-9,2.026836813462001E-11,7.762873626405787E-11,3.077600218647486E-7,2.248775891194595E-12,1.6523204545455756E-10,1.1655587805345685E-10,2.1361671230292754E-12,2.1361671230292754E-12,4.334005400397739E-9,2.861969351141734E-10,1.2456104073322532E-10,6.998390940086486E-9,5.190873756636252E-10,1.729169603874896E-10,1.0170027050062124E-10,2.1361671230292754E-12,2.1361671230292754E-12,3.7371207419849775E-9,2.258460151119118E-8,2.2564379574050026E-10,7.544575133852639E-14,6.690874317124618E-9,3.574519238134312E-12,3.5745192381342997E-12,2.1361671230292754E-12,2.1361671230292754E-12,8.483083668897412E-11,7.422355770227577E-10,6.502615337469564E-11,1.175262073155812E-9,4.080458709506293E-10,2.6961115213078117E-11,1.8899909755925194E-11,2.1361671230292754E-12,2.1361671230292754E-12,5.962713463367094E-10,2.4033219292270204E-9,1.6728655595719408E-10,
